run_id,t_s,bx_ut,by_ut,bz_ut
2342474,74.128,39.6330,-24.8624,23.4862
2342474,74.294,34.3119,-39.7248,13.3028
2342474,74.461,10.4587,-50.6422,-2.5688
2342474,74.628,-1.7431,-48.8991,16.6055
2342474,74.794,-2.0183,-24.1284,41.7431
2342474,74.961,-1.1927,-3.1193,43.8532
2342474,75.127,-0.6422,13.3028,37.9817
2342474,75.294,-10.1835,4.7706,38.8073
2342474,75.461,-10.3670,-11.6514,41.1927
2342474,75.627,1.7431,-30.8257,40.0000
2342474,75.794,-0.6422,-48.3486,20.2752
2342474,75.961,-14.2202,-45.7798,6.7890
2342474,76.127,-21.7431,-40.9174,-1.6514
2342474,76.294,-32.5688,-19.4495,13.1193
2342474,76.461,-27.6147,4.0367,23.0275
2342474,76.627,-26.3303,21.1009,1.0092
2342474,76.794,-28.8991,10.6422,-17.1560
2342474,76.961,-30.4587,-14.4954,-13.0275
2342474,77.129,-20.7339,-33.8532,-8.8073
2342474,77.337,0.8257,-41.7431,-18.1651
2342474,77.503,6.7890,-29.9083,-32.2018
2342474,77.669,1.0092,-14.8624,-39.0826
2342474,77.836,-22.2018,-0.8257,-28.6239
2342474,78.003,-30.5505,2.9358,-15.0459
2342474,78.170,-33.1193,1.6514,-6.7890
2342474,78.336,-33.4862,-10.3670,-4.0367
2342474,78.503,-30.4587,-22.4771,7.1560
2342474,78.670,-19.1743,-35.5046,17.3395
2342474,78.836,8.2569,-49.0826,7.8899
2342474,79.003,32.9358,-40.1835,-1.7431
2342474,79.170,46.3303,-15.8716,-7.4312
2342474,79.336,45.5046,4.4037,-11.1009
2342474,79.513,43.5780,1.3761,-16.0550
2342474,79.679,30.8257,-24.6789,-27.7982
2342474,79.846,7.4312,-37.8899,-25.0459
2342474,80.013,-10.0000,-40.7339,-14.6789
2342474,80.179,-1.8349,-48.1651,0.3670
2342474,80.346,7.7982,-48.4404,16.1468
2342474,80.513,19.0826,-39.8165,29.6330
2342474,80.679,26.7890,-21.6514,37.7064
2342474,80.846,27.2477,-8.7156,39.1743
2342474,81.013,33.4862,-6.0550,35.1376
2342474,81.179,35.7798,-17.7064,32.7523
2342474,81.348,38.1651,-33.0275,21.1009
2342474,81.528,15.0459,-51.5596,11.6514
2342474,81.695,-10.0917,-47.6147,16.7890
2342474,81.862,-4.0367,-35.5046,36.4220
2342474,82.028,3.4862,-17.8899,44.8624
2342474,82.195,-0.9174,2.9358,42.2018
2342474,82.363,-8.4404,16.2385,32.7523
2342474,82.530,-25.4128,3.0275,26.1468
2342474,82.697,-23.5780,-25.4128,25.2294
2342474,82.864,-18.6239,-37.2477,17.6147
2342474,83.030,-14.4954,-43.6697,7.1560
2342474,83.197,-30.7339,-23.4862,-3.6697
2342474,83.364,-34.0367,-2.4771,10.1835
2342474,83.530,-27.1560,14.1284,14.8624
2342474,83.696,-20.8257,24.1284,10.1835
2342474,83.863,-29.5413,13.2110,-5.7798
