# label,wifi_on_scan
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
25550,175,260,164,4
25600,175,261,164,4
25650,175,262,165,4
25700,175,261,165,4
25750,175,261,165,4
25800,175,260,164,4
25850,175,262,165,4
25900,174,261,164,4
25950,174,261,164,4
26000,174,261,164,4
26050,176,260,163,4
26100,175,261,164,4
26150,175,261,164,4
26200,175,261,164,4
26250,174,262,164,4
26301,175,261,164,4
26351,175,261,164,4
26401,174,261,164,4
26451,174,260,165,4
26500,174,260,165,4
26550,176,262,164,4
26600,175,262,164,4
26650,174,261,164,4
26700,174,261,164,4
26750,176,262,165,4
26800,174,259,164,4
26850,174,261,165,4
26900,174,261,165,4
26950,175,261,165,4
27000,175,262,164,4
27050,175,260,164,4
27100,175,260,164,4
27150,175,262,164,4
27200,176,261,164,4
27250,175,261,164,4
27300,175,261,164,4
27350,174,263,164,4
27400,174,261,164,4
27450,175,261,164,4
27500,175,261,164,4
27550,176,260,165,4
27600,174,260,164,4
27650,175,261,164,4
27700,175,261,164,4
27750,173,262,164,4
27800,175,262,165,4
27850,175,262,164,4
27900,175,262,164,4
27950,174,261,164,4
28000,174,261,164,4
28050,175,261,163,4
28100,175,261,163,4
28150,175,261,164,4
28200,175,261,165,4
28250,175,259,165,4
28300,175,259,165,4
28350,174,261,164,4
28400,175,262,164,4
28450,174,262,163,4
28500,174,262,163,4
28550,175,262,165,4
28600,175,261,164,4
28650,175,261,165,4
28700,175,261,165,4
28750,174,260,164,4
28800,175,261,165,4
28851,174,261,165,4
28900,174,261,165,4
28950,175,261,164,4
29000,176,261,163,4
29050,176,261,163,4
29100,176,261,163,4
29150,174,261,163,4
29200,174,260,163,4
29250,174,260,163,4
29300,174,262,165,4
29350,175,261,164,4
29400,175,261,165,4
29450,175,261,165,4
29500,175,262,164,4
29550,174,260,164,4
29600,174,261,165,4
29650,174,261,165,4
29700,175,261,164,4
29750,175,262,164,4
29800,175,261,163,4
29850,175,261,163,4
29900,175,261,165,4
29950,174,261,165,4
30000,175,260,165,4
30050,175,260,165,4
30100,175,260,165,4
30150,175,262,164,4
30200,174,262,164,5
32704,174,262,164,5
32706,174,262,164,5
32708,174,262,164,5
32710,174,262,164,5
32712,174,262,164,5
32714,174,262,164,5
32716,174,262,164,5
32718,174,262,164,5
32720,174,262,164,5
32722,174,262,164,5
32724,174,262,164,5
32726,174,262,164,5
32728,174,262,164,5
32730,174,262,164,5
32732,174,262,164,5
32734,174,262,164,5
32736,174,262,164,5
32738,174,262,164,5
32740,174,262,164,5
32742,174,262,164,5
32744,174,261,166,5
32746,174,261,166,5
32748,174,261,166,5
32750,174,261,166,5
32752,174,261,166,5
32754,174,261,166,5
32756,174,261,166,5
32758,174,261,166,5
32760,174,261,166,5
32762,174,261,166,5
32764,174,261,166,5
32766,174,261,166,5
32768,174,261,166,5
32770,174,261,166,5
32772,174,261,166,5
32774,174,261,166,5
32776,174,261,166,5
32778,174,261,166,5
32780,174,261,166,5
32782,174,261,166,5
32784,174,261,166,5
32786,174,261,166,5
32788,174,261,166,5
32790,174,261,166,5
32792,174,261,166,5
32794,174,261,166,5
32796,174,261,166,5
32798,174,261,166,5
32800,174,261,166,5
32802,174,261,166,5
32804,174,261,166,5
32806,174,261,166,5
32851,175,260,164,5
32901,174,260,165,5
32951,174,260,165,5
33000,174,260,165,5
33050,174,261,163,5
33100,175,260,164,5
33150,175,261,163,5
33200,175,261,163,5
33250,174,261,163,5
33300,174,261,163,5
33350,174,263,164,5
33400,174,263,164,5
33450,175,260,164,5
33500,175,260,164,5
33550,175,259,163,5
33600,175,259,163,5
33650,174,260,164,5
33700,173,260,163,5
33750,174,261,163,5
33800,174,261,163,5
33850,174,261,165,5
33900,174,261,163,5
33950,174,262,163,5
34000,174,262,165,5
34050,174,260,164,5
34100,175,261,164,5
34150,175,261,164,5
34200,174,261,164,5
34250,174,262,164,5
34300,173,262,163,5
34350,173,262,163,5
34400,175,261,164,5
34450,173,261,163,5
34500,174,262,166,5
34550,174,262,166,5
34600,174,262,164,5
34650,173,261,165,5
34700,173,262,164,5
34750,173,262,164,5
34800,175,261,164,5
34850,175,261,164,5
34900,174,261,164,5
34950,174,261,164,5
35000,175,260,163,5
35050,174,261,163,5
35100,173,262,164,5
35150,173,262,164,5
35200,176,261,164,5
35250,175,261,163,5
35300,174,261,164,5
35350,174,261,164,5
35400,173,260,164,5
35450,174,262,164,5
35500,174,261,163,5
35550,174,261,163,5
35600,174,261,163,5
35650,174,262,164,5
35700,175,259,164,5
35750,175,259,164,5
35800,175,261,165,5
35850,174,262,164,5
35900,176,261,164,5
35950,176,261,164,5
36000,175,261,164,5
36050,175,261,164,5
36100,173,260,164,5
36150,173,260,164,5
36200,175,261,163,5
36250,174,260,164,5
36300,176,261,164,5
36350,176,261,164,5
36400,174,263,164,5
36450,174,261,164,5
36500,175,262,164,5
36550,175,262,164,5
36600,173,262,164,5
36650,175,261,163,5
36700,175,261,163,5
36750,175,260,164,5
36800,175,260,164,5
36850,174,261,163,5
36900,174,261,163,5
36950,174,261,164,5
37000,174,261,164,5
37050,175,259,163,5
37100,175,259,163,5
37150,173,262,164,5
37200,175,260,163,5
37250,175,260,164,5
37300,175,260,164,5
37350,173,262,164,5
37400,174,263,164,5
37450,175,261,163,5
37500,175,261,163,5
37550,175,261,165,5
37600,173,260,164,5
37650,175,262,163,5
37700,175,262,163,5
37750,174,261,164,6
40254,174,261,164,6
40256,174,261,164,6
40258,174,261,164,6
40260,175,261,166,6
40262,175,261,166,6
40264,175,261,166,6
40266,175,261,166,6
40268,175,261,166,6
40270,175,261,166,6
40272,175,261,166,6
40274,175,261,166,6
40276,175,261,166,6
40278,175,261,166,6
40280,175,261,166,6
40282,175,261,166,6
40284,175,261,166,6
40286,175,261,166,6
40288,175,261,166,6
40290,175,261,166,6
40292,175,261,166,6
40294,175,261,166,6
40296,175,261,166,6
40298,175,261,166,6
40300,175,261,166,6
40302,175,261,166,6
40303,175,261,166,6
40305,175,261,166,6
40307,175,261,166,6
40309,175,261,166,6
40311,175,261,166,6
40313,175,261,166,6
40315,175,261,166,6
40317,175,261,166,6
40319,175,261,166,6
40321,175,261,166,6
40323,175,261,166,6
40325,175,261,164,6
40327,175,261,164,6
40329,175,261,164,6
40331,175,261,164,6
40333,175,261,164,6
40335,175,261,164,6
40337,175,261,164,6
40339,175,261,164,6
40341,175,261,164,6
40343,175,261,164,6
40345,175,261,164,6
40347,175,261,164,6
40349,175,261,164,6
40351,175,261,164,6
40353,175,261,164,6
40355,175,261,164,6
40400,175,260,163,6
40450,175,260,163,6
40500,175,260,164,6
40550,176,260,164,6
40600,174,261,163,6
40650,174,261,163,6
40700,174,261,164,6
40750,175,260,164,6
40800,175,262,164,6
40850,175,262,164,6
40900,174,261,164,6
40950,173,261,164,6
41000,174,262,165,6
41050,174,262,165,6
41100,174,261,163,6
41150,174,261,164,6
41200,174,262,164,6
41250,174,262,164,6
41300,175,262,165,6
41350,175,261,165,6
41400,174,261,164,6
41450,174,261,164,6
41500,175,261,164,6
41550,174,260,163,6
41600,174,261,163,6
41650,175,261,165,6
41700,175,261,164,6
41750,174,262,164,6
41800,174,262,164,6
41850,175,261,165,6
41900,175,260,165,6
41950,174,262,164,6
42000,174,262,164,6
42050,174,261,164,6
42100,174,261,165,6
42150,174,260,164,6
42200,174,260,164,6
42250,175,260,164,6
42300,174,260,164,6
42350,174,261,163,6
42400,174,261,163,6
42450,176,260,164,6
42500,174,262,165,6
42550,174,260,164,6
42600,174,260,164,6
42650,174,262,164,6
42700,174,262,164,6
42750,175,262,164,6
42800,175,262,164,6
42850,174,260,164,6
42900,175,260,164,6
42950,175,261,164,6
43000,175,261,164,6
43050,174,260,164,6
43100,175,261,164,6
43150,175,261,163,6
43200,175,261,163,6
43250,174,263,165,6
43300,175,260,164,6
43350,175,261,164,6
43400,175,261,164,6
43450,173,262,164,6
43500,174,261,164,6
43550,174,261,163,6
43600,174,261,163,6
43650,175,261,163,6
43700,175,261,164,6
43750,174,261,164,6
43800,174,261,164,6
43850,175,260,163,6
43900,173,262,165,6
43950,173,261,163,6
44000,173,261,163,6
44050,174,262,165,6
44100,175,262,165,6
44150,175,262,165,6
44200,176,261,166,6
44250,174,262,164,6
44300,174,262,163,6
44350,174,262,163,6
44400,174,261,164,6
44450,174,260,163,6
44500,174,261,165,6
44550,174,261,165,6
44600,175,261,164,6
44650,175,262,164,6
44700,174,262,164,6
44750,174,262,164,6
44800,174,262,164,6
44850,175,260,163,6
44900,174,261,164,6
44950,174,261,164,6
45000,175,262,165,6
45050,175,261,164,6
45100,175,261,163,6
45150,175,261,163,6
45200,174,261,164,6
45250,175,260,163,6
45300,174,260,163,7
47804,174,260,163,7
47806,174,260,163,7
47808,174,260,163,7
47810,174,260,163,7
47812,174,260,163,7
47814,174,260,163,7
47816,174,260,163,7
47818,174,260,163,7
47820,174,260,163,7
47822,174,260,163,7
47824,174,260,163,7
47826,174,260,163,7
47828,174,260,163,7
47830,174,260,163,7
47832,174,260,163,7
47834,174,260,163,7
47836,174,260,163,7
47838,174,260,163,7
47840,174,260,163,7
47842,174,260,166,7
47844,174,260,166,7
47846,174,260,166,7
47848,174,260,166,7
47850,174,260,166,7
47852,174,260,166,7
47854,174,260,166,7
47856,174,260,166,7
47858,174,260,166,7
47860,174,260,166,7
47862,174,260,166,7
47864,174,260,166,7
47866,174,260,166,7
47867,174,260,166,7
47869,174,260,166,7
47871,174,260,166,7
47873,174,260,166,7
47875,174,260,166,7
47877,174,260,166,7
47879,174,260,166,7
47881,174,260,166,7
47883,174,260,166,7
47885,174,260,166,7
47887,174,260,166,7
47889,174,260,166,7
47891,174,260,166,7
47893,174,260,166,7
47895,174,260,166,7
47897,174,260,166,7
47899,174,260,166,7
47901,174,260,166,7
47903,174,260,166,7
47905,174,260,166,7
47950,174,262,165,7
48000,175,260,165,7
48050,174,260,164,7
48100,174,260,164,7
48150,174,261,163,7
48200,174,261,164,7
48250,174,261,163,7
48300,174,261,163,7
48350,176,260,165,7
48400,174,261,163,7
48450,174,262,164,7
48500,174,262,164,7
48550,174,261,163,7
48600,174,262,165,7
48650,175,262,164,7
48700,175,262,164,7
48750,174,260,163,7
48801,174,261,164,7
48851,174,260,164,7
48901,174,260,164,7
48951,175,260,163,7
49000,175,261,163,7
49051,175,261,164,7
49100,175,261,164,7
49150,175,262,164,7
49200,175,261,164,7
49250,175,261,164,7
49300,175,261,164,7
49350,175,262,165,7
49400,174,262,164,7
49450,174,262,164,7
49500,175,261,164,7
49550,174,261,163,7
49600,176,261,163,7
49650,176,261,163,7
49700,174,259,164,7
49750,175,261,164,7
49800,174,261,163,7
49850,174,261,163,7
49900,174,261,164,7
49950,176,262,164,7
50000,174,262,164,7
50050,174,262,164,7
50100,174,262,163,7
50150,175,261,164,7
50200,174,262,164,7
50250,174,262,164,7
50300,175,263,164,7
50350,174,261,164,7
50400,175,260,163,7
50450,175,260,163,7
50500,175,262,163,7
50550,175,261,164,7
50600,174,261,162,7
50650,174,261,162,7
50700,174,260,164,7
50750,175,260,163,7
50800,174,262,164,7
50850,174,262,164,7
50900,175,261,164,7
50950,175,261,164,7
51000,174,261,164,7
51050,174,261,164,7
51100,174,261,165,7
51150,174,261,164,7
51200,175,261,163,7
51250,175,261,163,7
51300,175,261,164,7
51350,174,261,164,7
51400,175,261,164,7
51450,175,261,164,7
51500,175,262,164,7
51550,175,262,164,7
51600,175,260,165,7
51650,175,260,165,7
51700,174,262,165,7
51750,175,261,163,7
51800,175,261,163,7
51850,175,260,164,7
51900,174,263,165,7
51950,174,260,164,7
52000,174,260,164,7
