# label,wifi_off
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
24100,-138,-336,319,0
24150,-137,-336,317,0
24200,-137,-336,317,0
24250,-138,-337,317,0
24300,-142,-334,317,0
24350,-156,-325,316,0
24400,-156,-325,316,0
24450,-171,-314,313,0
24500,-191,-298,310,0
24550,-196,-292,307,0
24600,-196,-292,307,0
24650,-202,-287,303,0
24700,-204,-286,304,0
24750,-205,-284,302,0
24800,-205,-284,302,0
24850,-203,-286,304,0
24900,-204,-285,302,0
24950,-205,-285,302,0
25000,-205,-285,302,0
25050,-204,-285,304,0
25100,-204,-285,302,0
25150,-205,-284,302,0
25200,-205,-284,302,0
25250,-204,-284,303,0
25300,-203,-286,304,0
25350,-205,-285,303,0
25400,-205,-285,303,0
25451,-205,-284,303,0
25500,-205,-285,302,0
25550,-204,-285,302,0
25600,-204,-285,302,0
25650,-205,-285,303,0
25700,-204,-285,302,0
25750,-204,-286,303,0
25800,-204,-286,303,0
25850,-204,-285,302,0
25900,-203,-287,303,0
25951,-203,-287,303,0
26000,-199,-289,307,0
26050,-194,-292,307,0
26100,-202,-288,304,0
26150,-202,-288,304,0
26200,-202,-285,307,0
26250,-204,-284,306,0
26300,-206,-285,306,0
26350,-206,-285,306,0
26400,-203,-285,307,0
26450,-203,-285,307,0
26500,-209,-283,304,0
26550,-209,-283,304,0
26600,-209,-282,303,0
26650,-210,-281,302,0
26700,-210,-282,303,0
26750,-210,-282,303,0
26800,-210,-281,303,0
26850,-211,-281,302,0
26900,-211,-281,303,0
26950,-211,-281,303,0
27000,-211,-282,302,0
27050,-210,-281,303,0
27100,-209,-281,304,0
27150,-209,-281,304,0
27200,-211,-281,303,0
27250,-210,-281,303,0
27300,-210,-282,302,0
27350,-210,-282,302,0
27400,-211,-281,303,0
27450,-210,-282,304,0
27500,-210,-282,303,0
27550,-210,-282,303,0
27600,-211,-282,302,0
27651,-211,-282,303,0
27701,-210,-281,302,0
27750,-210,-281,302,0
27800,-211,-281,302,0
27850,-211,-282,303,0
27900,-209,-282,303,0
27950,-209,-282,303,0
28000,-209,-281,304,0
28050,-209,-281,302,0
28100,-209,-283,304,0
28150,-209,-283,304,0
28200,-209,-282,302,0
28250,-210,-282,304,0
28300,-208,-283,303,0
28350,-208,-283,303,0
28400,-210,-282,303,0
28450,-210,-282,303,0
28500,-210,-282,303,0
28550,-209,-282,304,0
28600,-209,-282,303,0
28650,-210,-282,304,0
28700,-210,-282,304,0
28750,-210,-281,303,0
28800,-209,-283,304,0
28850,-210,-281,302,0
28900,-210,-281,302,0
28950,-210,-282,302,0
29000,-209,-282,304,0
29050,-210,-281,303,0
29100,-210,-281,303,0
29150,-209,-282,303,0
29200,-209,-282,305,0
29250,-209,-283,304,0
29300,-209,-283,304,0
29350,-209,-282,303,0
29400,-209,-282,303,0
29450,-211,-282,304,0
29500,-211,-282,304,0
29550,-210,-281,303,0
29600,-210,-281,304,0
29650,-209,-282,304,0
29700,-209,-282,304,0
29750,-209,-283,304,0
29800,-210,-281,303,0
29850,-208,-282,303,0
29900,-208,-282,303,0
29950,-209,-282,303,0
30000,-209,-281,303,0
30050,-209,-281,304,0
30100,-209,-281,304,0
30150,-210,-282,302,0
30200,-208,-281,304,0
30250,-209,-283,303,0
30300,-209,-283,303,0
30350,-209,-282,304,0
30400,-210,-281,303,0
30450,-209,-282,303,0
30500,-209,-282,303,0
30550,-209,-282,305,0
30600,-210,-281,302,0
30650,-209,-282,303,0
30700,-209,-282,303,0
30750,-210,-282,304,0
30800,-209,-281,303,0
30850,-210,-283,303,0
30900,-210,-283,303,0
30950,-209,-282,305,0
31000,-209,-282,303,0
31050,-209,-282,303,0
31100,-210,-282,303,0
31150,-210,-282,303,0
31200,-209,-282,304,0
31251,-209,-282,304,0
31300,-209,-283,304,0
31350,-209,-282,304,0
31400,-209,-282,304,0
31450,-209,-282,304,0
31500,-209,-283,303,0
31550,-209,-282,304,0
31600,-209,-281,303,0
31650,-209,-281,303,0
31700,-209,-281,303,0
31750,-209,-280,303,0
31800,-209,-281,304,0
31850,-209,-281,304,0
31900,-210,-282,303,0
31950,-210,-283,302,0
32000,-209,-281,304,0
32050,-209,-281,304,0
32100,-210,-281,304,0
32150,-209,-282,302,0
32200,-210,-282,303,0
32250,-210,-282,303,0
32300,-210,-282,302,0
32350,-210,-282,303,0
32400,-210,-282,303,0
32450,-210,-282,303,0
32501,-209,-282,303,0
32550,-210,-282,304,0
32600,-209,-282,303,0
32650,-209,-282,303,0
32700,-210,-282,303,0
32750,-208,-282,305,0
32800,-209,-282,304,0
32850,-209,-282,304,0
32900,-211,-282,302,0
32950,-209,-283,303,0
33000,-210,-282,302,0
33050,-210,-282,302,0
33100,-210,-282,303,0
33150,-210,-282,304,0
33200,-210,-283,302,0
33250,-210,-283,302,0
33300,-210,-283,303,0
33350,-209,-282,303,0
33400,-209,-282,304,0
33450,-209,-282,304,0
33500,-211,-282,305,0
33550,-210,-282,303,0
33600,-210,-282,303,0
33650,-211,-282,302,0
33700,-209,-282,303,0
33750,-209,-282,303,0
33800,-209,-282,303,0
33850,-210,-282,303,0
33900,-210,-282,304,0
33950,-210,-282,304,0
34000,-210,-282,304,0
34050,-209,-284,302,0
34100,-210,-282,303,0
34150,-210,-282,303,0
34200,-210,-282,303,0
34250,-210,-283,303,0
34300,-209,-282,303,0
34350,-210,-282,304,0
34400,-210,-282,304,0
34450,-209,-281,304,0
34500,-209,-281,304,0
34550,-210,-281,304,0
34600,-210,-281,304,0
34650,-210,-282,304,0
34700,-210,-282,302,0
34751,-210,-282,302,0
34800,-210,-282,302,0
34850,-210,-282,303,0
34900,-211,-281,303,0
34950,-208,-282,303,0
35000,-208,-282,303,0
35050,-209,-282,304,0
35100,-209,-282,302,0
35150,-210,-282,305,0
35200,-210,-282,305,0
35250,-209,-282,304,0
35300,-209,-282,303,0
35350,-209,-283,304,0
35400,-209,-283,304,0
35450,-210,-282,303,0
35500,-210,-281,302,0
35550,-209,-282,303,0
35600,-209,-282,303,0
35650,-210,-282,303,0
35700,-209,-282,303,0
35750,-210,-283,302,0
35800,-210,-283,302,0
35850,-209,-281,303,0
35900,-209,-283,305,0
35950,-209,-283,302,0
36000,-209,-283,302,0
36050,-210,-281,303,0
36100,-210,-283,303,0
36150,-210,-283,303,0
36200,-209,-282,304,0
36250,-209,-282,304,0
36300,-209,-282,305,0
36350,-209,-282,305,0
36400,-210,-281,304,0
36450,-209,-282,304,0
36500,-209,-283,303,0
36550,-209,-283,303,0
36600,-209,-282,303,0
36650,-210,-283,302,0
36700,-210,-282,303,0
36750,-210,-282,303,0
36800,-209,-282,304,0
36850,-210,-282,303,0
36900,-209,-282,304,0
36950,-209,-282,304,0
37001,-208,-282,303,0
37050,-210,-282,303,0
37100,-210,-282,303,0
37150,-210,-282,303,0
37200,-208,-282,305,0
37250,-210,-281,303,0
37300,-210,-282,303,0
37350,-210,-282,303,0
37400,-209,-282,303,0
37450,-210,-282,303,0
37500,-210,-282,303,0
37550,-210,-282,303,0
37600,-208,-281,303,0
37650,-210,-282,304,0
37700,-210,-282,305,0
37750,-210,-282,305,0
37800,-209,-282,303,0
37850,-210,-282,303,0
37900,-208,-281,304,0
37950,-208,-281,304,0
38000,-209,-282,302,0
38050,-210,-282,302,0
38100,-210,-281,304,0
38150,-210,-281,304,0
38200,-211,-282,303,0
38250,-210,-282,303,0
38300,-209,-282,303,0
38350,-209,-282,303,0
38400,-210,-282,303,0
38450,-210,-282,304,0
38500,-210,-283,302,0
38550,-210,-283,302,0
38600,-210,-281,303,0
38650,-209,-283,304,0
38700,-209,-283,304,0
38750,-210,-283,303,0
38800,-209,-281,303,0
38850,-210,-283,305,0
38900,-210,-283,305,0
38950,-210,-282,305,0
39000,-210,-282,304,0
39050,-210,-282,303,0
39100,-210,-282,303,0
39150,-210,-282,303,0
39200,-210,-281,304,0
39250,-210,-282,303,0
39300,-210,-282,303,0
39350,-209,-282,302,0
39400,-209,-282,303,0
39450,-209,-282,303,0
39500,-209,-282,303,0
39550,-210,-282,303,0
39600,-210,-282,304,0
39650,-210,-282,303,0
39700,-210,-282,303,0
39750,-210,-282,303,0
39800,-210,-283,305,0
39850,-210,-282,303,0
39900,-210,-282,303,0
39950,-209,-283,304,0
40000,-210,-282,303,0
40050,-211,-282,302,0
40100,-211,-282,302,0
40150,-210,-282,303,0
40200,-210,-281,303,0
40250,-210,-282,302,0
40300,-210,-282,302,0
40350,-210,-282,304,0
