# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
12080,1.003906,0.079102,0.039795
12100,1.007813,0.078369,0.036377
12120,1.005371,0.077881,0.033691
12140,1.006836,0.078857,0.034912
12160,1.009277,0.082764,0.040039
12180,1.006592,0.082764,0.042725
12200,1.004395,0.079102,0.036865
12220,1.003174,0.077393,0.043701
12240,1.007080,0.080566,0.035156
12260,1.002686,0.080811,0.035889
12280,1.006836,0.081543,0.034424
12300,1.006836,0.080811,0.027588
12320,1.006836,0.080322,0.039307
12340,1.006836,0.078857,0.038086
12360,1.007813,0.076660,0.039307
12380,1.005371,0.078369,0.031250
12400,1.007080,0.079102,0.036865
12420,1.008789,0.079834,0.046143
12440,1.009521,0.082520,0.034668
12460,1.006592,0.079834,0.037598
12480,1.005127,0.076904,0.030273
12500,1.006592,0.079834,0.037354
12520,1.010986,0.080811,0.033936
12540,1.012695,0.078369,0.034424
12560,1.006836,0.080811,0.034668
12580,1.009277,0.082031,0.038086
12600,1.008057,0.079590,0.035645
12620,1.009521,0.076172,0.037842
12640,1.009277,0.080811,0.039551
12660,1.005615,0.078613,0.036865
12680,1.010742,0.079834,0.035156
12700,1.009277,0.075928,0.035889
12720,1.010498,0.077393,0.040283
12740,1.009277,0.083740,0.040039
12761,1.007568,0.079346,0.040771
12780,1.006104,0.079590,0.038818
12800,1.007813,0.079102,0.035156
12820,1.007813,0.078613,0.039063
12840,1.005615,0.081299,0.040039
12861,1.002441,0.078125,0.037842
12880,1.007568,0.079346,0.041992
12900,1.009277,0.084229,0.032471
12920,1.007324,0.082520,0.040771
12940,1.005859,0.079346,0.041748
12961,1.006348,0.077881,0.042480
12980,1.002441,0.080811,0.034668
13000,1.005127,0.080566,0.032715
13020,1.008789,0.081543,0.035889
13040,1.005127,0.079590,0.041016
13060,1.009277,0.079590,0.039795
13080,1.008057,0.077881,0.034912
13100,1.006104,0.080322,0.036133
13120,1.005127,0.081299,0.034912
13140,1.008301,0.076172,0.036133
13160,1.006836,0.080322,0.039795
13180,1.003906,0.081543,0.036377
13200,1.004639,0.080566,0.041016
13220,1.005615,0.077148,0.032959
13240,1.009277,0.081543,0.036377
13260,1.006348,0.078613,0.031982
13280,1.010010,0.081299,0.037354
13300,1.005127,0.079346,0.040771
13320,1.006348,0.081787,0.038330
13340,1.009033,0.081787,0.036133
13360,1.006836,0.081299,0.036865
13380,1.006836,0.076660,0.041260
13400,1.006348,0.082764,0.031982
13420,1.003906,0.075928,0.044189
13440,1.004639,0.080811,0.031250
13460,1.005859,0.080811,0.035889
13480,1.003662,0.078369,0.033203
13500,1.006104,0.082764,0.038330
13520,1.001709,0.081055,0.039063
13541,1.006348,0.079834,0.037354
13560,1.010498,0.081055,0.043701
13580,1.003906,0.081543,0.033447
13600,1.009277,0.080322,0.039551
13620,1.002441,0.082031,0.038574
13641,1.004639,0.081787,0.039795
13660,1.010010,0.077637,0.035400
13680,1.009521,0.078125,0.041260
13700,1.007568,0.079102,0.039551
13720,1.005615,0.080566,0.032959
13740,1.007568,0.079102,0.032227
13760,1.003418,0.078369,0.039307
13780,1.010010,0.082031,0.039307
13800,1.008301,0.078125,0.036133
13820,1.003662,0.080078,0.038086
13841,1.009766,0.078369,0.037109
13860,1.007080,0.078613,0.037598
13880,1.007568,0.081787,0.040527
13900,1.008057,0.076904,0.039795
13920,1.006348,0.083984,0.037598
13941,1.004883,0.083008,0.039551
13960,1.005615,0.077637,0.039795
13980,1.011719,0.082275,0.037598
14000,1.008301,0.079834,0.031494
14020,1.010254,0.081299,0.036621
14041,1.008545,0.077637,0.033936
14060,1.010498,0.079834,0.039551
14080,1.003662,0.082520,0.038574
14100,1.006348,0.077637,0.039307
14120,1.008057,0.079590,0.034668
14141,1.006348,0.080566,0.036865
14160,1.011230,0.080811,0.037842
14180,1.005615,0.080811,0.035156
14200,1.003174,0.078857,0.042969
14220,1.004639,0.079590,0.036621
14240,1.005859,0.082031,0.039795
14260,1.007080,0.079590,0.034912
14280,1.007568,0.083008,0.040283
14300,1.009766,0.079590,0.039307
14320,1.006104,0.083984,0.041992
14340,1.008545,0.082031,0.037598
14360,1.005371,0.080811,0.035645
14380,1.007080,0.081787,0.040771
14400,1.007813,0.082275,0.045898
14420,1.004150,0.075684,0.041016
14441,1.001953,0.081543,0.040039
14460,1.005127,0.081299,0.038574
14480,1.003418,0.078369,0.038818
14500,1.009277,0.075928,0.039795
14520,1.010986,0.077393,0.036621
14541,1.005615,0.080566,0.039307
14560,1.006592,0.081299,0.039063
14580,1.008301,0.079346,0.038086
14600,1.009277,0.084961,0.028564
14620,1.009033,0.079102,0.037842
14641,1.006592,0.082764,0.041260
14660,1.004639,0.081299,0.044189
14680,1.009766,0.078613,0.044922
14700,1.006104,0.079834,0.039063
14720,1.004395,0.081543,0.034424
14740,1.005371,0.083008,0.041260
14760,1.009033,0.080566,0.039551
14780,1.006592,0.079346,0.042725
14800,1.009521,0.076660,0.037354
14820,1.007080,0.079590,0.037598
14840,1.007568,0.081055,0.034912
14860,1.009766,0.078857,0.039795
14880,1.005127,0.082764,0.031738
14900,1.005615,0.078369,0.038818
14920,1.004639,0.082275,0.039063
14940,1.004395,0.078369,0.036133
14960,1.006836,0.079590,0.036133
14980,1.009033,0.080322,0.041260
15000,1.004639,0.077393,0.033203
15020,1.008301,0.081055,0.037598
15040,1.010742,0.080078,0.040283
15060,1.008545,0.078369,0.042725
15080,1.004883,0.077148,0.040039
15101,1.006348,0.078369,0.035889
15120,1.003174,0.083496,0.031494
15140,1.009766,0.078369,0.037354
15160,1.002441,0.084229,0.032227
15180,1.010986,0.081055,0.042480
15201,1.008545,0.078613,0.035889
15220,1.004639,0.078857,0.035400
15240,1.010010,0.080566,0.037109
15260,1.004395,0.080322,0.037354
15280,1.005859,0.079590,0.038086
15300,1.006592,0.080811,0.041260
15320,1.005859,0.079590,0.039795
15340,1.008789,0.083252,0.039063
