# sample_hz,50
# duration_s,120
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
6540,-0.064209,0.009277,1.023193,43.886,0.206107,0.900763,-0.106870
6560,-0.066406,0.012207,1.024414,43.868,0.244275,1.000000,-0.175573
6580,-0.063477,0.012695,1.029053,43.889,0.312977,1.015267,-0.114504
6600,-0.063232,0.006348,1.021973,43.874,0.244275,0.870229,-0.122137
6620,-0.064453,0.007080,1.025146,43.883,0.175573,0.969466,-0.213740
6640,-0.065430,0.008301,1.022949,43.868,0.213740,1.015267,-0.175573
6660,-0.068115,0.006104,1.019287,43.898,0.229008,1.007634,-0.175573
6680,-0.062500,0.009766,1.016357,43.865,0.175573,1.091603,-0.030534
6700,-0.067383,0.011230,1.024902,43.854,0.244275,0.961832,-0.145038
6720,-0.067627,0.008789,1.020264,43.854,0.236641,1.061069,-0.137405
6740,-0.064941,0.008789,1.026611,43.859,0.122137,1.030534,-0.183206
6760,-0.061768,0.010254,1.022949,43.871,0.244275,0.931298,-0.091603
6780,-0.066162,0.009521,1.029297,43.883,0.259542,1.022901,-0.068702
6800,-0.061035,0.006592,1.024170,43.868,0.152672,0.916031,-0.083969
6820,-0.062256,0.008057,1.022217,43.848,0.137405,1.015267,-0.129771
6840,-0.061279,0.009521,1.023926,43.895,0.244275,0.977099,-0.061069
6860,-0.062500,0.009033,1.021484,43.856,0.290076,0.938931,-0.083969
6881,-0.061523,0.010010,1.027588,43.874,0.282443,1.053435,-0.114504
6900,-0.060791,0.009766,1.024658,43.868,0.137405,0.946565,-0.229008
6920,-0.063965,0.008545,1.026855,43.865,0.221374,0.916031,-0.152672
6940,-0.062500,0.012939,1.019287,43.865,0.267176,0.992366,-0.114504
6960,-0.065918,0.008301,1.023682,43.886,0.167939,1.106870,-0.145038
6980,-0.059570,0.006592,1.021729,43.839,0.167939,1.091603,-0.122137
7000,-0.063721,0.008789,1.027100,43.862,0.206107,1.007634,-0.106870
7021,-0.061279,0.006592,1.023193,43.862,0.106870,1.083969,-0.122137
