t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
5.176,1.002,-0.147,0.0505,0.595,1.214,-0.282,17.99
5.201,1.0002,-0.1506,0.051,0.618,1.092,-0.29,18.0
5.226,0.9976,-0.1479,0.0559,0.718,1.115,-0.298,17.97
5.251,1.0005,-0.1501,0.0569,0.702,1.137,-0.237,17.98
5.276,0.9985,-0.1543,0.0608,0.58,1.13,-0.229,17.99
5.301,1.0042,-0.1487,0.0591,0.649,1.122,-0.26,17.97
5.326,0.9973,-0.147,0.0557,0.718,1.191,-0.214,17.97
5.351,0.9988,-0.1516,0.0559,0.641,1.061,-0.275,17.99
5.376,0.9993,-0.1443,0.0593,0.679,1.023,-0.244,17.99
5.401,0.9961,-0.1479,0.0569,0.634,1.053,-0.206,17.98
5.426,1.0005,-0.1523,0.0544,0.687,1.176,-0.198,18.01
5.451,1.0044,-0.1519,0.054,0.634,1.137,-0.206,18.0
5.476,1.0022,-0.1521,0.0562,0.725,1.13,-0.29,17.98
5.501,1.0039,-0.1475,0.0503,0.626,1.191,-0.275,17.99
5.526,0.9976,-0.1494,0.0554,0.679,0.992,-0.191,17.97
5.551,1.0017,-0.1514,0.0598,0.565,1.16,-0.176,17.94
5.576,1.0032,-0.1509,0.0547,0.656,1.137,-0.298,17.96
5.601,1.0032,-0.1492,0.0576,0.725,1.168,-0.29,17.97
5.626,1.002,-0.1477,0.0476,0.679,1.061,-0.26,17.95
5.651,0.9971,-0.1516,0.0576,0.748,1.008,-0.351,17.98
5.676,0.9968,-0.1526,0.0544,0.641,1.076,-0.214,17.99
5.701,1.0032,-0.1523,0.0586,0.672,1.237,-0.29,17.96
5.726,1.0059,-0.1462,0.0569,0.695,1.229,-0.26,17.96
5.751,1.0002,-0.1497,0.0576,0.603,1.076,-0.206,17.97
5.776,1.0005,-0.1465,0.0574,0.672,1.031,-0.061,17.93
5.801,1.0032,-0.1494,0.0527,0.656,1.153,-0.183,17.96
5.826,1.0002,-0.1494,0.0586,0.679,1.099,-0.176,17.94
5.851,1.0029,-0.1519,0.0503,0.687,1.137,-0.183,17.97
5.876,1.002,-0.147,0.0559,0.71,1.115,-0.26,17.97
5.901,1.0039,-0.1526,0.0552,0.702,1.191,-0.214,17.93
5.926,1.0012,-0.1492,0.0586,0.626,1.191,-0.237,17.96
5.951,0.9988,-0.1511,0.0562,0.702,1.046,-0.107,17.97
5.976,1.0037,-0.1504,0.0581,0.664,1.107,-0.145,17.96
6.001,1.0015,-0.1477,0.0547,0.679,1.069,-0.198,17.95
6.026,0.9985,-0.1501,0.0532,0.74,1.015,-0.244,17.94
6.051,1.0017,-0.1516,0.0544,0.763,1.137,-0.298,17.93
6.076,0.9976,-0.1531,0.0559,0.618,1.13,-0.16,17.99
6.101,1.0061,-0.1497,0.0508,0.672,1.107,-0.282,17.96
6.126,1.0027,-0.1499,0.0571,0.679,1.206,-0.183,17.94
6.151,1.0029,-0.1501,0.0527,0.672,1.16,-0.115,17.96
6.176,1.0017,-0.1509,0.0535,0.595,1.122,-0.282,17.98
6.201,1.0005,-0.1497,0.0613,0.71,1.099,-0.229,17.96
6.226,1.0015,-0.1511,0.0613,0.695,1.107,-0.183,17.94
6.251,1.0029,-0.1489,0.0544,0.664,1.168,-0.214,17.94
6.276,0.998,-0.1489,0.0557,0.71,1.046,-0.282,17.94
6.301,1.0051,-0.1528,0.054,0.55,1.198,-0.145,17.94
6.326,1.0005,-0.1455,0.0669,0.702,1.008,-0.26,17.93
6.351,1.0015,-0.1531,0.0564,0.656,1.137,-0.244,17.95
6.376,0.9995,-0.1489,0.0574,0.695,1.099,-0.206,17.95
6.401,1.0017,-0.1482,0.0566,0.656,1.145,-0.191,17.96
6.426,1.0,-0.1501,0.0559,0.611,1.092,-0.214,17.94
6.451,1.0015,-0.1477,0.0579,0.71,1.076,-0.137,17.95
6.476,1.0005,-0.1521,0.0549,0.618,1.107,-0.214,17.93
6.501,0.9993,-0.155,0.0559,0.664,1.107,-0.237,17.94
6.526,0.9995,-0.1521,0.0525,0.649,1.145,-0.244,17.93
6.551,1.002,-0.1499,0.0566,0.733,1.092,-0.237,17.94
6.576,1.0005,-0.1516,0.054,0.687,1.176,-0.244,17.94
6.601,1.0022,-0.1479,0.0559,0.687,1.084,-0.29,17.92
6.626,1.0029,-0.1506,0.0593,0.672,1.069,-0.191,17.95
6.651,1.0,-0.1472,0.0562,0.618,1.137,-0.344,17.92
6.676,1.0002,-0.1467,0.0569,0.641,1.183,-0.237,17.93
6.701,1.0002,-0.1475,0.0532,0.679,1.168,-0.229,17.93
6.726,0.9998,-0.1538,0.0569,0.634,1.153,-0.198,17.91
6.751,0.999,-0.1501,0.052,0.672,1.191,-0.282,17.93
6.776,1.0002,-0.1514,0.0615,0.733,1.198,-0.137,17.91
6.801,1.0029,-0.1499,0.0544,0.656,1.13,-0.244,17.92
6.826,0.9949,-0.1523,0.0562,0.695,1.084,-0.206,17.93
6.851,1.0034,-0.1484,0.0596,0.679,1.244,-0.298,17.9
6.876,0.999,-0.1499,0.0547,0.588,1.16,-0.16,17.94
6.901,1.0034,-0.1482,0.0564,0.618,1.115,-0.206,17.94
6.926,0.9993,-0.1519,0.0532,0.718,1.145,-0.214,17.91
6.951,1.0,-0.1489,0.0554,0.687,1.137,-0.214,17.93
6.976,1.0,-0.1467,0.0549,0.649,1.053,-0.267,17.91
7.001,1.001,-0.1538,0.0601,0.672,1.107,-0.168,17.93
7.026,0.9968,-0.1484,0.0579,0.649,1.183,-0.298,17.92
7.051,1.0007,-0.145,0.053,0.687,1.015,-0.237,17.93
7.076,1.0039,-0.1499,0.0574,0.756,1.145,-0.137,17.93
7.101,0.9966,-0.1523,0.0549,0.649,0.985,-0.29,17.93
7.126,1.0039,-0.1501,0.0574,0.603,1.031,-0.275,17.93
7.151,1.0015,-0.1484,0.0593,0.695,1.061,-0.244,17.93
7.176,1.002,-0.1482,0.0503,0.679,1.198,-0.206,17.9
7.201,1.0007,-0.1497,0.0562,0.649,1.13,-0.244,17.93
7.226,1.0017,-0.1509,0.0542,0.733,1.13,-0.29,17.91
7.251,0.999,-0.1526,0.0581,0.679,1.168,-0.267,17.9
7.276,0.9985,-0.1519,0.0544,0.771,1.16,-0.237,17.92
7.301,1.0007,-0.1497,0.0557,0.618,1.061,-0.214,17.9
7.326,1.0027,-0.1501,0.0544,0.611,1.076,-0.153,17.92
7.351,1.002,-0.1501,0.0542,0.71,1.137,-0.13,17.91
7.376,1.0,-0.1516,0.0549,0.786,1.099,-0.237,17.88
7.401,0.9995,-0.1465,0.0579,0.679,1.099,-0.198,17.92
7.426,0.9993,-0.1506,0.0537,0.733,1.115,-0.26,17.88
7.451,0.9993,-0.1482,0.053,0.695,1.191,-0.206,17.9
7.476,1.0032,-0.1494,0.0571,0.641,1.084,-0.252,17.9
7.501,0.9995,-0.1523,0.053,0.733,1.069,-0.244,17.9
7.526,1.0037,-0.1492,0.0603,0.672,1.099,-0.168,17.91
7.551,0.9993,-0.1479,0.0576,0.611,1.145,-0.137,17.89
7.576,0.9961,-0.1458,0.0586,0.748,1.122,-0.26,17.92
7.601,0.9988,-0.1482,0.0535,0.664,1.107,-0.214,17.9
7.626,0.9995,-0.1458,0.0557,0.641,1.076,-0.198,17.86
7.651,0.9985,-0.1538,0.0532,0.634,1.13,-0.267,17.91
7.676,1.001,-0.1475,0.0583,0.656,1.16,-0.397,17.89
7.701,0.9995,-0.1499,0.0598,0.672,1.183,-0.198,17.89
7.726,1.0012,-0.1455,0.0552,0.695,1.13,-0.298,17.89
7.751,0.9966,-0.1477,0.0598,0.672,1.153,-0.282,17.89
7.776,1.002,-0.1523,0.0547,0.641,1.198,-0.198,17.89
7.801,1.0027,-0.1492,0.0547,0.71,1.115,-0.275,17.91
7.826,0.9995,-0.1489,0.0566,0.679,1.229,-0.191,17.9
7.851,0.9983,-0.156,0.0552,0.649,1.122,-0.29,17.86
7.876,0.9985,-0.1523,0.0591,0.71,1.13,-0.26,17.91
7.901,1.0029,-0.1487,0.0588,0.641,1.053,-0.252,17.9
7.926,1.0,-0.1545,0.0588,0.634,1.099,-0.275,17.9
7.951,1.0032,-0.1492,0.0605,0.611,1.145,-0.237,17.88
7.976,0.9998,-0.1504,0.0537,0.679,1.076,-0.237,17.89
8.001,1.0002,-0.1511,0.0547,0.588,1.076,-0.153,17.86
8.026,0.9993,-0.1487,0.0532,0.595,1.153,-0.252,17.9
8.051,0.9976,-0.1523,0.0532,0.595,1.13,-0.153,17.86
8.076,0.999,-0.1533,0.0583,0.634,1.16,-0.214,17.85
8.101,0.9971,-0.1538,0.0508,0.634,1.122,-0.244,17.87
8.126,0.998,-0.1511,0.0574,0.641,1.13,-0.221,17.88
8.151,1.0005,-0.1504,0.0586,0.641,1.015,-0.351,17.86
8.176,1.0007,-0.1494,0.0608,0.573,1.107,-0.282,17.85
8.201,0.998,-0.1479,0.0549,0.725,1.092,-0.183,17.87
8.226,0.9988,-0.1506,0.0576,0.611,1.092,-0.153,17.88
8.251,1.0039,-0.1521,0.0544,0.649,1.145,-0.282,17.87
8.276,1.0,-0.1489,0.0515,0.718,1.046,-0.122,17.87
8.301,0.9985,-0.1497,0.0583,0.656,1.153,-0.267,17.83
8.326,1.002,-0.1521,0.0571,0.634,1.13,-0.183,17.86
8.351,1.0007,-0.1479,0.05,0.649,1.137,-0.183,17.86
8.376,1.0034,-0.1533,0.0562,0.687,1.076,-0.29,17.85
8.401,1.0022,-0.1501,0.0537,0.656,1.107,-0.305,17.86
8.426,1.001,-0.1499,0.0581,0.687,1.076,-0.206,17.84
8.451,1.0015,-0.1499,0.0605,0.687,1.122,-0.26,17.85
8.476,0.9961,-0.1475,0.0591,0.58,1.183,-0.137,17.86
8.501,1.0007,-0.1526,0.0586,0.687,1.069,-0.244,17.87
8.526,0.998,-0.1489,0.0559,0.672,1.168,-0.305,17.86
8.551,1.001,-0.1489,0.0583,0.649,1.153,-0.321,17.85
8.576,1.0002,-0.1479,0.0522,0.664,1.13,-0.366,17.85
8.601,0.9998,-0.1514,0.0537,0.71,1.107,-0.198,17.83
8.626,0.9993,-0.1526,0.0576,0.618,1.031,-0.229,17.83
8.651,1.0051,-0.1526,0.0581,0.595,1.16,-0.214,17.87
8.676,1.0007,-0.1516,0.0559,0.664,1.046,-0.183,17.85
8.701,1.0039,-0.1509,0.0564,0.618,1.168,-0.237,17.86
8.726,0.9993,-0.1506,0.0581,0.763,1.168,-0.221,17.86
8.751,1.0002,-0.1509,0.0603,0.679,1.046,-0.145,17.86
8.776,1.0032,-0.1477,0.0642,0.695,1.137,-0.275,17.85
8.801,0.9998,-0.1494,0.0532,0.672,1.153,-0.374,17.86
8.826,1.0032,-0.1553,0.0576,0.756,0.992,-0.237,17.86
8.851,0.9993,-0.1501,0.0569,0.626,1.206,-0.16,17.83
8.876,1.0005,-0.1499,0.0598,0.725,1.153,-0.168,17.85
8.901,1.0032,-0.1492,0.0542,0.679,1.008,-0.237,17.83
8.926,1.0044,-0.1479,0.0559,0.748,1.122,-0.282,17.85
8.951,1.0046,-0.147,0.0586,0.603,1.145,-0.328,17.81
8.976,1.002,-0.1528,0.0583,0.718,1.046,-0.305,17.84
9.001,1.001,-0.1501,0.054,0.679,1.023,-0.267,17.85
9.026,1.0042,-0.1514,0.054,0.71,1.16,-0.282,17.84
9.051,1.0,-0.1489,0.064,0.733,1.153,-0.321,17.86
9.076,0.9998,-0.1492,0.0518,0.687,1.198,-0.26,17.83
9.101,1.0,-0.1487,0.0596,0.718,1.099,-0.214,17.82
9.126,0.9954,-0.1497,0.0586,0.542,1.153,-0.29,17.85
9.151,1.0015,-0.147,0.0518,0.634,1.16,-0.298,17.84
9.176,1.001,-0.1528,0.0615,0.733,1.137,-0.229,17.83
9.201,1.0049,-0.1492,0.0532,0.71,1.16,-0.206,17.84
9.226,1.0012,-0.1482,0.0547,0.702,1.084,-0.176,17.84
9.251,1.0017,-0.1492,0.0562,0.672,1.099,-0.229,17.85
9.276,1.0037,-0.1509,0.054,0.725,1.099,-0.267,17.84
9.301,1.0042,-0.1511,0.0549,0.588,1.076,-0.214,17.82
9.326,0.9983,-0.1506,0.0569,0.71,1.214,-0.29,17.81
9.351,1.0007,-0.1514,0.0562,0.679,1.115,-0.313,17.81
9.376,0.9985,-0.1484,0.0554,0.656,1.053,-0.244,17.81
9.401,1.0,-0.1523,0.0591,0.649,1.168,-0.344,17.81
9.426,0.9978,-0.1482,0.0569,0.618,1.122,-0.198,17.83
9.451,0.9988,-0.1523,0.0522,0.664,1.153,-0.191,17.83
9.476,1.0002,-0.1472,0.0557,0.595,1.206,-0.298,17.85
