t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
6.251,1.0012,-0.0347,0.0693,0.557,1.206,-0.061,25.53
6.276,1.0066,-0.032,0.0615,0.641,1.115,-0.176,25.53
6.301,1.0061,-0.0349,0.0691,0.672,1.13,-0.107,25.54
6.326,1.0046,-0.0378,0.0676,0.603,1.031,0.046,25.52
6.351,1.0105,-0.0344,0.0669,0.565,1.008,-0.176,25.53
6.376,1.0056,-0.0332,0.0669,0.649,1.069,-0.115,25.56
6.401,1.0032,-0.0366,0.0645,0.58,1.176,-0.107,25.52
6.426,1.0066,-0.0374,0.0645,0.557,1.122,-0.107,25.52
6.451,1.0061,-0.0391,0.0662,0.634,1.046,-0.145,25.53
6.476,1.0042,-0.0342,0.0605,0.573,1.031,-0.061,25.53
6.501,1.0034,-0.032,0.0657,0.611,1.229,-0.183,25.53
6.526,1.0063,-0.0349,0.0681,0.618,1.168,0.015,25.53
6.551,1.0098,-0.0349,0.0728,0.603,1.168,-0.099,25.57
6.576,1.0093,-0.0359,0.0613,0.679,1.023,-0.137,25.52
6.601,1.0059,-0.0339,0.0593,0.611,1.023,0.0,25.53
6.626,1.0051,-0.0366,0.0696,0.634,1.092,-0.122,25.53
6.651,1.0068,-0.0317,0.0635,0.641,0.954,-0.16,25.51
6.676,1.0063,-0.0327,0.0637,0.611,0.908,-0.084,25.53
6.701,1.0034,-0.0369,0.064,0.649,1.115,-0.183,25.53
6.726,1.0039,-0.0334,0.0637,0.618,1.099,-0.13,25.55
6.751,1.0056,-0.0366,0.0708,0.618,1.053,-0.015,25.55
6.776,1.0056,-0.0349,0.064,0.588,1.0,-0.107,25.53
6.801,1.0085,-0.0352,0.0598,0.626,1.153,0.008,25.54
6.826,1.0029,-0.0364,0.0667,0.557,1.183,-0.069,25.56
6.851,1.0054,-0.0322,0.0659,0.656,1.076,-0.115,25.51
6.876,1.0098,-0.0339,0.0635,0.695,1.023,0.008,25.57
6.901,1.0037,-0.0364,0.0625,0.664,1.076,0.0,25.55
6.926,1.0034,-0.0344,0.0684,0.55,1.13,-0.183,25.53
6.951,1.0044,-0.0376,0.0659,0.641,1.137,0.0,25.52
6.976,1.0027,-0.0383,0.0669,0.588,1.061,-0.061,25.54
7.001,1.0039,-0.0322,0.0642,0.618,1.053,-0.107,25.52
7.026,1.0088,-0.0366,0.0642,0.641,1.107,-0.13,25.54
7.051,1.0039,-0.0366,0.0659,0.611,1.076,0.015,25.56
7.076,1.0056,-0.0342,0.0642,0.618,1.031,-0.122,25.56
7.101,1.0081,-0.0361,0.0664,0.603,1.115,-0.084,25.54
