t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
5.727,0.9978,0.0044,0.1343,0.603,1.092,-0.031,43.57
5.752,0.999,0.0042,0.1248,0.656,1.183,-0.076,43.58
5.777,1.0012,0.0066,0.1265,0.595,1.038,-0.092,43.56
5.802,0.9966,0.0046,0.1304,0.626,1.122,-0.122,43.58
5.827,1.0029,0.0024,0.1255,0.603,1.115,0.008,43.59
5.852,1.0015,0.0054,0.1267,0.649,0.954,-0.069,43.57
5.877,1.0022,0.0093,0.1262,0.58,0.992,-0.031,43.57
5.902,0.9983,0.0046,0.1238,0.679,1.053,-0.145,43.62
5.927,0.9993,0.0093,0.1326,0.626,1.053,-0.244,43.57
5.952,0.9951,0.0015,0.1265,0.611,1.069,-0.076,43.57
5.977,0.9954,0.0081,0.1228,0.634,1.0,-0.145,43.59
6.002,0.9973,0.0061,0.125,0.74,1.145,-0.099,43.59
6.027,0.9932,0.0051,0.1282,0.649,1.145,-0.13,43.58
6.052,0.9941,0.0071,0.1255,0.641,0.954,-0.137,43.57
6.077,0.9954,0.0063,0.127,0.664,1.099,-0.122,43.57
6.102,0.999,0.0037,0.124,0.679,1.084,-0.16,43.57
6.127,0.9958,0.0088,0.1309,0.58,1.092,-0.031,43.59
6.152,0.9976,0.0034,0.134,0.626,1.107,-0.13,43.55
6.177,0.9995,0.0056,0.134,0.641,0.931,-0.046,43.57
6.202,0.9956,0.0071,0.1235,0.634,1.023,-0.107,43.56
6.227,0.999,0.0056,0.1267,0.557,1.038,-0.137,43.58
6.252,1.0007,0.0037,0.1299,0.641,1.023,-0.069,43.57
6.277,0.9973,0.0059,0.1289,0.664,1.153,-0.115,43.55
6.302,0.998,0.0068,0.1335,0.641,1.008,-0.092,43.55
6.327,0.9976,0.0061,0.1309,0.573,1.099,-0.092,43.55
6.352,0.9995,0.0051,0.1301,0.649,1.076,-0.069,43.57
6.377,0.9993,0.0049,0.1333,0.641,1.015,-0.145,43.57
6.402,0.999,0.0076,0.1318,0.634,0.962,-0.252,43.56
6.427,0.9983,0.0046,0.1292,0.634,1.16,-0.076,43.55
6.452,0.9966,0.0073,0.1255,0.634,1.076,-0.053,43.57
6.477,0.9932,0.0037,0.1306,0.595,1.015,-0.176,43.56
6.502,0.9973,0.0066,0.1326,0.58,1.069,-0.13,43.57
6.527,0.9988,0.0056,0.1262,0.718,0.969,-0.145,43.56
6.552,0.9988,0.0081,0.1333,0.618,1.168,-0.092,43.55
6.577,1.0002,0.0073,0.1279,0.756,1.038,-0.084,43.55
6.602,0.9998,0.0029,0.127,0.58,1.092,-0.099,43.54
6.627,0.9988,0.0093,0.1282,0.634,1.053,-0.176,43.55
6.652,1.0002,0.0034,0.1309,0.603,1.053,-0.092,43.56
6.677,0.9963,0.0068,0.1294,0.618,1.008,-0.153,43.56
6.702,0.9985,0.0078,0.1282,0.557,1.107,-0.198,43.57
6.727,0.999,0.0061,0.1299,0.641,1.13,-0.122,43.57
6.752,0.9978,0.0046,0.1248,0.664,1.099,-0.076,43.57
6.777,0.9966,0.0032,0.1316,0.618,1.076,-0.145,43.55
6.802,0.999,0.0066,0.1318,0.58,1.031,-0.099,43.56
6.827,0.9963,0.0081,0.1248,0.687,1.122,-0.237,43.56
6.852,1.0017,0.0059,0.1326,0.618,1.046,-0.13,43.56
6.877,0.9963,0.0044,0.1321,0.672,1.061,-0.061,43.57
6.902,0.9985,0.0015,0.1331,0.641,1.084,-0.084,43.59
6.927,0.998,0.0059,0.1221,0.664,0.992,-0.038,43.56
6.952,0.9956,0.0076,0.1306,0.611,1.115,-0.176,43.56
6.977,0.9985,0.0056,0.1301,0.695,0.977,-0.107,43.58
7.002,1.0015,0.0066,0.1284,0.595,1.069,-0.16,43.57
7.027,0.9998,0.0037,0.1208,0.687,1.069,-0.13,43.57
7.052,0.9978,0.0063,0.1274,0.664,1.023,-0.038,43.56
7.077,0.9934,0.0063,0.1292,0.588,1.153,-0.099,43.57
7.102,0.9939,0.0039,0.1309,0.58,1.023,-0.099,43.57
7.127,0.9976,0.0056,0.1289,0.679,1.061,-0.053,43.58
7.152,1.0002,0.0059,0.1387,0.565,1.092,-0.145,43.57
7.177,0.9956,0.0071,0.1221,0.656,0.992,-0.153,43.57
7.202,0.9978,0.0081,0.1287,0.679,1.046,-0.115,43.56
