t,gz_dps
3.586376,-0.152672
3.591387,-0.045802
3.596376,0.030534
3.601387,0.0
3.606376,-0.160305
3.611387,-0.167939
3.616376,-0.038168
3.621387,0.007634
3.626376,-0.030534
3.631387,0.007634
3.636376,-0.053435
3.641387,-0.10687
3.646376,-0.061069
3.651387,-0.053435
3.656376,0.053435
3.661387,0.038168
3.666376,-0.099237
3.671387,-0.122137
3.676376,-0.030534
3.681387,0.022901
3.686376,-0.137405
3.691387,-0.114504
3.696376,-0.083969
3.701387,-0.045802
3.706376,-0.099237
3.711387,-0.083969
3.716376,-0.10687
3.721387,-0.114504
3.726376,-0.19084
3.731387,-0.19084
3.736376,-0.022901
3.741387,-0.061069
3.746376,-0.137405
3.751387,-0.137405
3.756376,-0.19084
3.761387,-0.114504
3.766376,0.0
3.771387,0.0
3.776376,0.0
3.781387,-0.10687
3.786376,-0.083969
3.791387,-0.061069
3.796376,0.038168
3.801387,-0.038168
3.806376,-0.030534
3.811387,0.022901
3.816376,-0.10687
3.821387,-0.083969
3.826376,-0.053435
3.831387,-0.053435
3.836376,-0.083969
3.841387,-0.175573
3.846376,-0.045802
3.851387,-0.061069
3.856376,-0.053435
3.861387,-0.061069
3.866376,-0.099237
3.871387,-0.091603
3.876376,-0.122137
3.881387,-0.038168
3.886376,-0.030534
3.891387,-0.061069
3.896376,-0.10687
3.901387,-0.145038
3.906376,-0.099237
3.911387,-0.053435
3.916376,-0.038168
3.921387,-0.045802
3.926376,-0.015267
3.931387,-0.045802
3.936376,0.030534
3.941387,0.007634
3.946376,-0.007634
3.951387,-0.045802
3.956376,-0.053435
3.961387,-0.053435
3.966376,-0.099237
3.971387,-0.160305
3.976376,-0.076336
3.981387,0.022901
3.986376,0.007634
3.991387,-0.061069
3.996376,-0.053435
4.001387,0.022901
4.006376,-0.091603
4.011387,-0.068702
4.016376,-0.053435
4.021387,-0.053435
4.026376,-0.007634
4.031387,-0.015267
4.036376,-0.068702
4.041387,-0.145038
4.046376,-0.167939
4.051387,-0.198473
4.056376,-0.099237
4.061387,-0.129771
4.066376,-0.099237
4.071387,-0.160305
4.076376,-0.129771
4.081387,-0.114504
4.086376,-0.129771
4.091387,-0.053435
4.096376,-0.091603
4.101387,-0.045802
4.106376,-0.038168
4.111387,-0.061069
4.116376,0.053435
4.121387,0.0
4.126376,-0.030534
4.131387,-0.10687
4.136376,-0.091603
4.141387,-0.038168
4.146376,-0.053435
4.151387,-0.061069
4.156376,-0.007634
4.161387,-0.015267
4.166376,-0.053435
4.171387,-0.038168
4.176376,-0.015267
4.181387,0.015267
4.186376,-0.053435
4.191387,-0.022901
4.196376,-0.091603
4.201387,-0.015267
4.206376,-0.053435
4.211387,-0.045802
4.216376,-0.083969
4.221387,-0.091603
4.226376,-0.091603
4.231387,-0.030534
4.236376,-0.076336
4.241387,-0.053435
4.246376,-0.175573
4.251387,-0.030534
4.256376,0.015267
4.261387,-0.045802
4.266376,-0.114504
4.271387,-0.045802
4.276376,-0.061069
4.281387,-0.10687
4.286376,-0.091603
4.291387,-0.10687
