t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
7.552,0.9941,-0.0068,0.1853,0.702,1.084,-0.038,42.55
7.577,0.989,-0.0051,0.1838,0.618,1.229,-0.13,42.52
7.602,0.9944,-0.002,0.1912,0.672,1.031,-0.061,42.54
7.627,0.9854,-0.0032,0.1841,0.702,1.053,-0.115,42.53
7.652,0.9919,-0.0066,0.1836,0.74,1.053,-0.115,42.53
7.677,0.9868,-0.0037,0.1907,0.74,0.916,-0.038,42.54
7.702,0.9895,-0.0042,0.189,0.634,1.046,-0.053,42.52
7.727,0.9885,-0.0071,0.1841,0.618,1.183,-0.092,42.53
7.752,0.9893,-0.0063,0.1902,0.664,1.015,-0.031,42.56
7.777,0.991,-0.0037,0.1863,0.695,1.115,0.008,42.55
7.802,0.9902,-0.0049,0.1855,0.588,1.038,-0.076,42.53
7.827,0.9937,-0.0044,0.1873,0.664,0.977,-0.107,42.52
7.852,0.9871,-0.0051,0.1924,0.664,1.076,-0.107,42.54
7.877,0.989,-0.0095,0.189,0.565,1.122,-0.122,42.54
7.902,0.9895,0.0022,0.1895,0.656,0.977,0.0,42.54
7.927,0.991,-0.0078,0.1892,0.603,1.145,-0.092,42.53
7.952,0.988,-0.0051,0.1877,0.687,1.115,-0.046,42.54
7.977,0.9905,-0.0007,0.1855,0.641,0.969,-0.053,42.53
8.002,0.989,-0.0037,0.1899,0.634,1.008,-0.145,42.55
8.027,0.99,-0.0029,0.1877,0.679,0.985,-0.137,42.56
8.052,0.9893,-0.0024,0.1892,0.695,1.107,-0.153,42.54
8.077,0.9897,-0.0017,0.1826,0.588,1.053,-0.069,42.53
8.102,0.9905,-0.0071,0.1887,0.672,1.053,-0.122,42.56
8.127,0.9907,-0.0022,0.1912,0.565,1.038,-0.13,42.52
8.152,0.9934,-0.0078,0.1895,0.618,1.038,-0.092,42.55
8.177,0.991,-0.0103,0.1875,0.641,1.122,-0.031,42.54
8.202,0.991,-0.0059,0.1902,0.664,1.023,-0.046,42.54
8.227,0.9893,-0.0051,0.1941,0.702,1.038,0.031,42.54
8.252,0.9883,-0.0029,0.1904,0.634,1.115,-0.084,42.52
8.277,0.9897,-0.0046,0.1831,0.702,0.924,-0.031,42.54
8.302,0.99,-0.0044,0.1904,0.618,1.076,-0.031,42.55
8.327,0.9944,-0.0012,0.1868,0.573,1.031,0.069,42.55
8.352,0.9907,-0.0093,0.1882,0.718,1.038,-0.023,42.51
8.377,0.9861,-0.0066,0.187,0.611,0.954,-0.015,42.56
8.402,0.9939,-0.0054,0.1853,0.71,0.969,-0.107,42.53
8.427,0.9895,-0.0022,0.1863,0.603,1.008,-0.13,42.55
8.452,0.9883,-0.0046,0.1868,0.611,0.962,-0.107,42.55
8.477,0.9893,-0.0063,0.1853,0.672,1.115,-0.153,42.52
8.502,0.9905,-0.0083,0.1904,0.687,1.076,-0.076,42.52
8.527,0.9902,-0.0024,0.1887,0.71,1.023,-0.16,42.54
8.552,0.9922,-0.0024,0.1929,0.679,0.977,-0.122,42.53
8.577,0.9905,0.0002,0.1858,0.71,1.038,-0.16,42.54
8.602,0.9907,-0.0061,0.1895,0.664,1.092,-0.115,42.55
8.627,0.9861,-0.0024,0.1902,0.672,1.0,0.023,42.53
8.652,0.9946,-0.0039,0.1855,0.695,0.962,-0.115,42.56
8.677,0.9958,-0.0061,0.1843,0.664,1.0,-0.053,42.53
8.702,0.9902,-0.0044,0.1904,0.695,1.137,-0.122,42.53
8.727,0.9866,-0.0044,0.1851,0.626,1.046,-0.183,42.54
