t,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
5.731,0.9956,0.0093,0.1523,0.603,1.031,0.137,43.14
5.756,0.9807,0.1311,0.1943,0.664,1.084,-0.191,43.13
5.781,0.9788,0.1082,0.1912,0.664,1.145,-0.351,43.12
5.806,1.0039,-0.0469,0.1016,0.626,1.031,-0.328,43.13
5.831,1.0139,-0.1345,0.1543,0.626,0.977,0.023,43.13
5.856,0.9988,-0.0166,0.1511,0.626,1.031,-0.099,43.13
5.881,0.9973,0.0088,0.1577,0.649,1.092,-0.122,43.12
5.906,0.9922,0.0105,0.1558,0.634,1.084,-0.153,43.12
5.931,0.9956,0.0,0.1526,0.702,1.092,-0.069,43.14
5.956,0.9927,0.0002,0.1497,0.687,1.13,-0.168,43.13
5.981,0.9988,0.0046,0.155,0.687,1.046,-0.145,43.15
6.006,0.9941,0.0024,0.1582,0.641,1.008,-0.122,43.15
6.031,0.9939,0.0059,0.1594,0.603,1.076,-0.176,43.13
6.056,0.9961,0.0051,0.1538,0.634,1.137,-0.115,43.14
6.081,0.9941,-0.002,0.1531,0.634,1.046,-0.16,43.14
6.106,0.9951,0.0056,0.1565,0.672,1.115,-0.122,43.13
6.131,0.9951,0.0034,0.1558,0.611,0.977,-0.122,43.15
6.156,0.9946,0.0037,0.1589,0.664,1.0,-0.038,43.16
6.181,0.9961,0.0061,0.1545,0.672,1.008,-0.13,43.14
6.206,0.9958,0.0073,0.1589,0.656,1.061,-0.198,43.17
6.231,0.9971,0.0005,0.1545,0.672,1.0,-0.115,43.11
6.256,0.9937,0.0042,0.156,0.58,0.947,-0.145,43.14
6.281,0.9971,0.0017,0.1533,0.679,1.046,-0.16,43.13
6.306,0.9944,0.0056,0.1526,0.656,1.13,-0.183,43.13
6.331,0.9932,0.0039,0.1594,0.618,1.046,-0.099,43.12
6.356,0.9973,0.0032,0.1526,0.695,1.038,-0.191,43.16
6.381,0.9966,-0.001,0.157,0.588,1.099,-0.076,43.14
6.406,0.9961,0.0029,0.1475,0.557,1.115,-0.13,43.13
6.431,0.9966,0.0024,0.1543,0.702,1.122,-0.16,43.15
6.456,1.0017,-0.0371,0.1531,0.672,1.023,-0.031,43.14
6.481,0.9834,0.0962,0.1917,0.649,1.069,-0.122,43.1
6.506,0.9805,0.1377,0.1968,0.725,1.183,-0.382,43.15
6.531,1.0027,-0.0508,0.0566,0.618,1.053,-0.282,43.13
6.556,1.0173,-0.1675,0.1919,0.565,0.992,-0.053,43.14
6.581,1.0015,-0.0857,0.0962,0.58,0.977,0.115,43.13
6.606,0.9863,0.092,0.2437,0.626,1.16,-0.031,43.11
6.631,0.9709,0.1553,0.1553,0.74,1.031,-0.321,43.14
6.656,0.9897,0.0405,0.1726,0.672,1.145,-0.351,43.14
6.681,1.0122,-0.1108,0.1086,0.687,1.069,-0.137,43.1
6.706,1.0095,-0.1294,0.1223,0.542,1.008,0.069,43.16
6.731,0.9951,0.0183,0.1626,0.725,0.87,0.023,43.14
6.756,0.979,0.1245,0.199,0.687,1.145,-0.122,43.15
6.781,0.98,0.0977,0.1772,0.74,1.176,-0.229,43.14
6.806,1.0024,-0.0452,0.1199,0.695,1.168,-0.244,43.14
6.831,1.0159,-0.1272,0.137,0.634,0.87,-0.031,43.14
6.856,1.0059,-0.0498,0.1338,0.573,0.87,0.084,43.13
6.881,0.9834,0.0891,0.2126,0.573,1.008,-0.053,43.16
6.906,0.98,0.1257,0.1704,0.687,1.069,-0.366,43.16
6.931,0.9927,0.0173,0.1533,0.679,1.214,-0.305,43.17
6.956,1.0117,-0.1099,0.125,0.542,1.092,-0.069,43.13
6.981,1.0107,-0.0989,0.135,0.626,1.053,0.13,43.16
7.006,0.989,0.0388,0.1746,0.656,0.962,0.046,43.14
7.031,0.9736,0.1311,0.188,0.626,1.206,-0.267,43.13
7.056,0.9888,0.0725,0.1763,0.702,1.214,-0.336,43.13
7.081,0.9961,-0.0398,0.1526,0.634,1.015,-0.115,43.15
7.106,0.9944,0.0132,0.1538,0.664,1.206,-0.107,43.12
7.131,0.9932,0.0068,0.1541,0.687,1.115,-0.153,43.14
7.156,0.9958,0.0037,0.1509,0.687,0.939,-0.092,43.13
7.181,0.9929,0.0024,0.1575,0.649,1.145,-0.061,43.16
7.206,0.9963,0.0063,0.1628,0.557,1.092,-0.206,43.15
7.231,0.9976,0.0039,0.157,0.656,0.939,-0.229,43.17
7.256,0.9971,0.0288,0.1494,0.687,1.13,-0.275,43.15
7.281,1.012,-0.0854,0.1238,0.702,1.115,-0.122,43.15
7.306,1.0088,-0.105,0.1338,0.649,0.954,0.061,43.15
7.331,0.9878,0.0435,0.1909,0.603,1.053,0.122,43.15
7.356,0.9727,0.1458,0.175,0.656,1.176,-0.229,43.14
7.381,0.99,0.0754,0.1875,0.656,1.244,-0.336,43.13
7.406,1.0039,-0.0823,0.0986,0.611,1.107,-0.16,43.15
7.431,1.012,-0.1321,0.1387,0.618,0.992,0.008,43.16
7.456,0.9971,-0.0229,0.1414,0.71,1.023,0.053,43.14
7.481,0.9807,0.1138,0.2168,0.672,1.122,-0.122,43.15
7.506,0.9812,0.1216,0.1833,0.733,1.16,-0.382,43.13
7.531,0.9795,0.1086,0.1807,0.626,1.084,-0.237,43.14
7.556,0.9993,-0.042,0.1257,0.603,0.977,-0.168,43.15
7.581,1.0144,-0.1306,0.135,0.603,0.924,0.107,43.16
7.606,1.0039,-0.0591,0.1267,0.588,0.985,-0.015,43.18
7.631,0.9868,0.0901,0.2083,0.611,1.229,-0.305,43.15
7.656,0.9775,0.1323,0.1714,0.687,1.305,-0.405,43.13
7.681,0.9912,0.0217,0.1611,0.725,1.122,-0.099,43.14
7.706,1.012,-0.1077,0.1172,0.573,0.916,-0.046,43.14
7.731,1.0129,-0.1089,0.1316,0.618,0.992,0.092,43.13
7.756,0.9915,0.0337,0.1787,0.664,1.038,-0.137,43.15
7.781,0.9819,0.1316,0.1929,0.756,1.183,-0.359,43.17
