# purpose,attitude fusion experiment
# label,level_static
# sample_hz,50
# duration_s,60
# sda_gpio,21
# scl_gpio,22
# wifi,off
t_ms,label,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,mx_raw,my_raw,mz_raw
4400,level_static,-0.032715,0.018311,1.026367,43.730,0.229008,0.984733,-0.129771,223,207,259
4420,level_static,-0.028809,0.013184,1.022461,43.712,0.206107,1.007634,-0.114504,223,207,259
4440,level_static,-0.031494,0.016602,1.022217,43.742,0.267176,0.877863,-0.106870,223,207,259
4460,level_static,-0.029297,0.010498,1.021973,43.727,0.320611,0.938931,-0.099237,223,207,259
4480,level_static,-0.033203,0.015625,1.026611,43.754,0.274809,0.938931,-0.015267,223,208,261
4500,level_static,-0.033447,0.015137,1.027588,43.715,0.206107,0.969466,-0.015267,223,208,261
4520,level_static,-0.036377,0.013184,1.022949,43.712,0.374046,0.877863,-0.015267,223,208,261
4541,level_static,-0.031738,0.015137,1.023682,43.718,0.229008,1.045802,-0.083969,223,208,259
4560,level_static,-0.028564,0.019531,1.028320,43.727,0.236641,0.977099,-0.106870,223,208,259
4580,level_static,-0.029297,0.013916,1.030762,43.715,0.351145,0.847328,-0.068702,223,208,259
4600,level_static,-0.034180,0.014404,1.023926,43.742,0.183206,0.931298,-0.167939,223,208,259
4620,level_static,-0.035645,0.016602,1.024414,43.745,0.137405,0.885496,-0.106870,223,208,259
4640,level_static,-0.031494,0.015381,1.023926,43.698,0.213740,0.847328,-0.083969,223,208,259
4660,level_static,-0.031250,0.016602,1.020752,43.698,0.282443,0.938931,-0.145038,223,208,259
4680,level_static,-0.035645,0.013916,1.028076,43.718,0.290076,0.847328,-0.190840,223,208,261
4700,level_static,-0.028320,0.015137,1.022461,43.698,0.343511,0.938931,-0.152672,223,208,261
4720,level_static,-0.034180,0.013428,1.021484,43.718,0.290076,0.916031,-0.061069,223,208,261
4740,level_static,-0.035156,0.019287,1.018799,43.701,0.198473,0.961832,-0.167939,223,207,259
4760,level_static,-0.034912,0.011719,1.017578,43.718,0.312977,0.847328,-0.053435,223,207,259
4780,level_static,-0.032959,0.014893,1.023193,43.727,0.259542,0.969466,-0.167939,223,207,259
4800,level_static,-0.031982,0.019775,1.025391,43.718,0.297710,0.946565,-0.022901,223,207,259
4820,level_static,-0.033447,0.014160,1.025146,43.709,0.206107,0.847328,-0.053435,223,207,259
4840,level_static,-0.033936,0.011230,1.021240,43.736,0.229008,0.961832,-0.015267,223,207,259
4860,level_static,-0.033447,0.018555,1.026611,43.727,0.167939,0.877863,-0.106870,223,207,259
4880,level_static,-0.032959,0.015137,1.021973,43.739,0.290076,0.977099,-0.129771,223,207,260
4900,level_static,-0.030518,0.013184,1.028076,43.698,0.267176,0.954198,-0.122137,223,207,260
4921,level_static,-0.036865,0.011719,1.024414,43.733,0.236641,1.053435,-0.076336,223,207,260
4940,level_static,-0.033203,0.018311,1.022949,43.689,0.183206,1.045802,0.000000,223,207,260
4960,level_static,-0.029785,0.014648,1.024658,43.745,0.236641,0.870229,-0.007634,223,207,260
4980,level_static,-0.033203,0.015869,1.029541,43.730,0.259542,0.931298,-0.038168,223,207,260
5000,level_static,-0.032959,0.013184,1.023438,43.712,0.267176,1.076336,-0.022901,223,207,259
5020,level_static,-0.036621,0.012207,1.024658,43.736,0.259542,0.908397,-0.076336,223,207,259
5040,level_static,-0.032715,0.015625,1.024170,43.727,0.251908,0.923664,-0.061069,223,207,259
5060,level_static,-0.034180,0.012207,1.022217,43.701,0.259542,1.053435,-0.137405,223,207,259
5080,level_static,-0.034424,0.016113,1.022461,43.692,0.198473,1.030534,-0.022901,223,209,259
5100,level_static,-0.033936,0.014160,1.021973,43.692,0.236641,1.061069,-0.061069,223,209,259
5120,level_static,-0.032227,0.016113,1.022949,43.718,0.198473,0.977099,-0.129771,223,209,259
