index,t_s,source_file,gps_lat,gps_lon,gps_alt_m,gps_e_m,gps_n_m,gps_u_m,eskf_lat,eskf_lon,eskf_alt_m,eskf_e_m,eskf_n_m,eskf_u_m,vel_e_mps,vel_n_mps,vel_u_mps,yaw_deg,sigma_e_m,sigma_n_m,sigma_u_m,innovation_xy_m,gps_update_accepted,satellites,hdop
629,731.254,gps_nmea_0002.txt,26.030399499999998,119.19455549999999,15.4,149.52768258003744,-11.302647787973239,-3.915000000000001,26.03039872174082,119.19455853251493,15.173460424629017,149.83101687245818,-11.389283203556673,-4.1415395753709845,0.8169559092155296,-0.06305536950817778,0.4449381716382101,0.0,3.522054568827738,3.522054568827738,5.173548467400789,0.47734752100544164,1,5,2.16
630,732.28,gps_nmea_0002.txt,26.030406666666668,119.19456333333333,15.6,150.31122979105072,-10.504858103596087,-3.7150000000000016,26.030401063110766,119.19456568544915,15.621400609556034,150.5465055939128,-11.128643093335597,-3.693599390443968,0.7911743270395432,0.005299147945298649,0.44348631978935005,0.0,3.540923799431874,3.540923799431874,5.196888026510502,1.0143870240482065,1,5,2.16
631,733.262,gps_nmea_0002.txt,26.030408833333333,119.19458133333335,15.7,152.11172125380892,-10.263665873757459,-3.615000000000002,26.030403743246662,119.19457613964767,15.955310955760108,151.592210879744,-10.830291729930787,-3.359689044239893,0.8476665929894133,0.0669148156182128,0.42626638487212765,0.0,3.531530306132724,3.531530306132724,5.185884176210665,1.1664474483799614,1,5,2.16
632,734.255,gps_nmea_0002.txt,26.030410333333332,119.19459583333334,15.7,153.56211715262674,-10.096686637593645,-3.615000000000002,26.030406382861557,119.19458839889255,16.185500157004313,152.81847008771345,-10.536451143882948,-3.1294998429956875,0.9285091529518124,0.11472202167929389,0.39353409016136975,0.0,3.5309118781011524,3.5309118781011524,5.184955681712146,1.3106776123804869,1,5,2.16
633,735.34,gps_nmea_0002.txt,26.03040583333333,119.19460883333335,15.8,154.8624720981101,-10.597624346480574,-3.5150000000000006,26.0304069185874,119.19460208967527,16.37630792929439,154.1879221660539,-10.476814416030786,-2.938692070705609,1.0042200518359707,0.10116241994513467,0.3536348033569204,0.0,3.5741981307798634,3.5741981307798634,5.240554275598175,1.0530627482155586,1,5,2.16
634,736.262,gps_nmea_0002.txt,26.030406000000003,119.19462183333331,16.0,156.16282703932896,-10.5790710972709,-3.3150000000000013,26.03040716064228,119.19461490350626,16.50303491876248,155.4696551259955,-10.449868989869119,-2.811965081237519,1.0788869108401904,0.08724507079862369,0.3199094411047613,0.0,3.5224901766887764,3.5224901766887764,5.178056019146528,1.067080929276656,1,5,2.16
635,737.267,gps_nmea_0002.txt,26.030401166666667,119.19464250000001,16.0,158.23005798005192,-11.117115302995234,-3.3150000000000013,26.030405637675045,119.19463145264466,16.589831139143087,157.12502081353958,-10.619404927006267,-2.7251688608569165,1.1988578988509564,0.0332099601615195,0.2801688255503026,0.0,3.5302800575523943,3.5302800575523943,5.185942880679669,1.8382869762500047,1,5,2.16
636,738.2650000000001,gps_nmea_0002.txt,26.03040433333333,119.19465516666666,15.6,159.49707048830206,-10.764603582644389,-3.7150000000000016,26.030405388905695,119.1946474230785,16.507858236198793,158.72250024428965,-10.64709780434833,-2.807141763801209,1.2831478853327016,0.020422791353182028,0.21892101576954512,0.0,3.5323728961487038,3.5323728961487038,5.187561695617311,1.189040197742726,1,5,2.16
637,739.254,gps_nmea_0002.txt,26.030402499999997,119.19466400000002,15.8,160.38064500390746,-10.96868931564561,-3.5150000000000006,26.03040452462111,119.19466143485708,16.46149888770958,160.12406067368204,-10.743309524270447,-2.853501112290421,1.311021033316043,-0.004060559878498009,0.17436929430160997,0.0,3.529613989711467,3.529613989711467,5.183408514296738,0.5179072565683277,1,5,2.16
638,740.317,gps_nmea_0002.txt,26.030403833333335,119.19467766666666,16.3,161.74768481532828,-10.820263327505014,-3.0150000000000006,26.030404259360118,119.19467616534581,16.546587889720417,161.59751173877376,-10.772838242710014,-2.768412110279585,1.3277477902822492,-0.0093429173134523,0.1574145252906014,0.0,3.5631832583893814,3.5631832583893814,5.225996858778199,0.24120579661808914,1,5,2.16
639,741.258,gps_nmea_0002.txt,26.030404833333332,119.19469233333332,17.0,163.21475193134125,-10.708943836992793,-2.3150000000000013,26.03040440221508,119.19468990535766,16.7814188906854,162.97188807360126,-10.756935701132704,-2.533581109314599,1.353992730291491,-0.004156704729148538,0.17209437255421758,0.0,3.52520065401846,3.52520065401846,5.180037458238784,0.3749424289161787,1,5,2.16
640,742.299,gps_nmea_0002.txt,26.030408833333333,119.19470133333334,17.3,164.1149976641418,-10.263665873757459,-2.0150000000000006,26.030405902905493,119.19470307929635,17.05807734460679,164.2896416354966,-10.58987960869519,-2.256922655393211,1.3347522241975485,0.0317822246613596,0.18858880040941975,0.0,3.549417419101307,3.549417419101307,5.209681758375831,0.5644200642056127,1,5,2.16
641,743.2570000000001,gps_nmea_0002.txt,26.030403666666665,119.19471766666666,18.5,165.74877695210594,-10.838816576319202,-0.8150000000000013,26.030405323917158,119.19471647548491,17.596844911603558,165.62962625352625,-10.65433229537758,-1.7181550883964447,1.34763258639324,0.01183920807593183,0.24923898971156122,0.0,3.524877206266267,3.524877206266267,5.179248405247351,0.33258859220250364,1,5,2.16
642,744.292,gps_nmea_0002.txt,26.0303985,119.19473433333333,19.7,167.41589867588172,-11.413967278485458,0.384999999999998,26.03040304954478,119.19473176549626,18.384055380174722,167.15904485829384,-10.907514270168456,-0.9309446198252781,1.3758834438614573,-0.04386458440290879,0.338811410046876,0.0,3.546614844187296,3.546614844187296,5.205651097176521,0.8654841568071633,1,5,2.16
643,745.616,gps_nmea_0002.txt,26.03039366666667,119.19475066666668,21.0,169.0496779666888,-11.952011483814308,1.6849999999999987,26.03039922118751,119.1947502344953,19.501288153186934,169.0064490287096,-11.333685052337719,0.1862881531869337,1.381167649016296,-0.11944737383332957,0.4503682312104588,0.0,3.694538094388135,3.694538094388135,5.398824173741246,0.9888282788272128,1,5,2.16
644,746.263,gps_nmea_0002.txt,26.030382333333332,119.19476216666665,20.5,170.19999195315162,-13.213632379845498,1.1849999999999987,26.030393222030394,119.19476015048438,19.988444197070443,169.99831867736427,-12.001508167416063,0.67344419707044,1.4016272595746584,-0.24241651408181475,0.4832621659014731,0.0,3.461618379632892,3.461618379632892,5.113612542213238,1.8274455220450836,1,5,2.16
645,747.2760000000001,gps_nmea_0002.txt,26.030384333333338,119.19477883333333,20.4,171.86711367834891,-12.9909933976346,1.0849999999999973,26.030388787366338,119.19477584192227,20.456160596220716,171.56789089636948,-12.495172712208555,1.1411605962207145,1.4331428643213528,-0.29463877016723344,0.4795695242031565,0.0,3.4926886521615033,3.4926886521615033,5.1423181071220645,0.8688877887350441,1,5,2.16
646,748.26,gps_nmea_0002.txt,26.030382666666664,119.19479449999999,21.2,173.43420809753258,-13.176525883008091,1.884999999999998,26.030385010618193,119.19479146042282,21.003842823290803,173.13016739065566,-12.915598392490494,1.6888428232908037,1.4653167604105537,-0.32225038195751654,0.49244430990989474,0.0,3.5083152652755407,3.5083152652755407,5.154983450020764,0.6010389272955575,1,5,2.17
647,749.255,gps_nmea_0002.txt,26.030376999999998,119.19480433333335,21.3,174.41780991773018,-13.807336330825944,1.9849999999999994,26.030380403128632,119.19480546301456,21.439436067231863,174.5308088832616,-13.428501784360025,2.124436067231862,1.453176631569699,-0.3629507563532774,0.4831894313322751,0.0,3.525424518977993,3.525424518977993,5.172760442205694,0.5959632291756002,1,5,2.17
