t_s,pressure_pa,temp_c,baro_h_m,kf_h_m,kf_v_mps,sigma_h_m
22.2,100681.859,31.71,-0.4709792790000189,-0.46472717660043245,-0.007293520916331267,0.15466502193595205
22.4,100681.797,31.71,-0.46578446267732554,-0.4660654880344885,-0.0071864865534220414,0.15466502703242413
22.6,100681.734,31.71,-0.46050585633818475,-0.4654042762234512,-0.005320821153218195,0.15466503058226308
22.8,100681.781,31.7,-0.4644438644940063,-0.4658612324559071,-0.004780986972655007,0.15466503305646415
23.0,100681.516,31.7,-0.4422401820249755,-0.45944625579697795,0.0017723056638876784,0.15466503478308577
23.2,100681.813,31.69,-0.4671250606834665,-0.46150112069575716,-0.0003696894137289403,0.15466503598999942
23.4,100681.609,31.68,-0.45003242314408665,-0.4581132072888582,0.0027080461539369803,0.1546650368352006
23.6,100681.289,31.68,-0.42322038620464353,-0.4472690299276667,0.011867474945168127,0.15466503742816862
23.8,100681.391,31.67,-0.43176673047323977,-0.44095796197086257,0.015368147666085692,0.15466503784481522
24.0,100681.305,31.66,-0.42456098968362443,-0.43388841379892457,0.018920692212805883,0.1546650381378802
24.2,100681.578,31.65,-0.44743501008080777,-0.4353020854984103,0.014299614121659093,0.1546650383441121
24.4,100681.25,31.65,-0.41995266447715673,-0.42869632953133957,0.017629821843017125,0.15466503848920926
24.6,100681.078,31.64,-0.40554116158731723,-0.419283201382731,0.022863765142156354,0.15466503859121047
24.8,100681.391,31.63,-0.43176673047323977,-0.41982594506914855,0.01831586724889296,0.15466503866281966
25.0,100681.063,31.62,-0.40428434353783516,-0.4126002097759176,0.02148313885622978,0.15466503871300835
25.2,100680.922,31.61,-0.39247024638790595,-0.4035548697204122,0.02570494952230647,0.15466503874812032
25.4,100680.602,31.6,-0.3656580612978977,-0.38858979968578133,0.034438981780936885,0.15466503877264215
25.6,100680.695,31.59,-0.3734503597046501,-0.3792271816990399,0.03663920527963559,0.15466503878974375
25.8,100680.578,31.59,-0.3636471446366629,-0.36942435334267437,0.03883957606602004,0.1546650388016584
26.0,100680.0,31.57,-0.3152174511136452,-0.3477285208778815,0.051222097071303326,0.15466503880995655
26.2,100680.063,31.57,-0.3204961310605148,-0.3323890926947181,0.055751780294092966,0.15466503881573765
26.4,100679.563,31.56,-0.2786017721262657,-0.3084511167547403,0.06712052760392545,0.1546650388197689
26.6,100679.531,31.55,-0.2759205274194887,-0.28929662082967084,0.0722150925893099,0.15466503882258428
26.8,100679.453,31.55,-0.2693849905521928,-0.27321346377783484,0.07367324670392573,0.15466503882455346
27.0,100679.125,31.54,-0.241902175268629,-0.25350717156688474,0.0780932523055049,0.15466503882593355
27.2,100679.102,31.53,-0.23997502391731595,-0.23851430216557937,0.07753690586995193,0.15466503882690244
27.4,100679.195,31.52,-0.24776741632698496,-0.2304330547722599,0.07093475165939517,0.1546650388275836
27.6,100678.875,31.52,-0.22095485883777854,-0.21765834759714936,0.06967920639463582,0.15466503882806318
27.8,100678.672,31.51,-0.2039456069152834,-0.20378941834311914,0.06961971870966309,0.15466503882840033
28.0,100678.578,31.5,-0.19606939218366204,-0.19172614504853772,0.06796550218310204,0.15466503882863747
