t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal,inlier
13250,247,-20,324,167.932435,71.925981,364.101821,1
13300,247,-20,324,167.932435,71.925981,364.101821,1
13350,248,-8,321,169.060417,83.660303,360.892185,1
13400,244,2,321,165.092366,93.372847,360.809247,1
13450,244,-1,322,165.060420,90.438012,361.863456,1
13500,244,-1,322,165.060420,90.438012,361.863456,1
13550,241,-2,324,162.002248,89.417316,363.940463,1
13600,232,6,327,152.938163,97.108082,366.984222,1
13650,225,7,329,145.853568,98.006547,369.076823,1
13700,225,7,329,145.853568,98.006547,369.076823,1
13750,225,3,333,145.784155,94.060589,373.195130,1
13800,223,3,331,143.783760,94.070629,371.180723,1
13850,226,3,330,146.824579,94.104835,370.133292,1
13901,226,3,330,146.824579,94.104835,370.133292,1
13950,224,7,329,144.843314,97.999250,369.086879,1
14000,218,20,331,138.856530,110.595087,371.021625,1
14050,206,36,329,126.870339,126.118931,368.910720,1
14100,206,36,329,126.870339,126.118931,368.910720,1
14150,189,57,330,109.839190,146.440207,369.840297,1
14200,170,83,326,90.874298,171.679338,365.642103,1
14250,144,121,316,64.985526,208.631369,355.262947,1
14300,144,121,316,64.985526,208.631369,355.262947,1
14350,109,165,298,30.128700,251.461301,336.762320,1
14400,84,187,282,5.193778,272.907760,320.466610,1
14450,62,197,274,-16.878392,282.587499,312.426610,1
14500,62,197,274,-16.878392,282.587499,312.426610,1
14550,30,205,266,-49.067697,290.245928,304.511810,1
14600,-11,203,259,-90.432309,288.084642,297.827945,1
14650,-56,181,258,-136.044207,266.336811,297.534200,1
14700,-56,181,258,-136.044207,266.336811,297.534200,1
14750,-93,143,264,-173.761214,228.974367,304.477887,1
14800,-116,103,271,-197.359313,189.753413,312.322674,1
14850,-127,58,281,-208.901016,145.712201,323.160144,1
14900,-127,58,281,-208.901016,145.712201,323.160144,1
14951,-116,11,299,-198.312177,99.784634,341.939081,1
15000,-91,-36,317,-173.579781,53.959217,360.577225,1
15050,-53,-92,334,-135.769694,-0.526585,378.178221,1
15100,-53,-92,334,-135.769694,-0.526585,378.178221,1
15150,-5,-150,342,-87.781149,-56.776920,386.547940,1
15200,39,-196,337,-43.615325,-101.206250,381.585705,1
15250,39,-230,337,-43.863406,-134.328132,382.004467,1
15300,79,-230,331,-3.392904,-133.962374,375.498639,1
15350,118,-254,321,35.932456,-156.934798,365.229422,1
15400,156,-269,309,74.333343,-171.122328,352.824893,1
15450,156,-269,309,74.333343,-171.122328,352.824893,1
15500,189,-275,300,107.718457,-176.615733,343.411580,1
15550,214,-274,293,133.052502,-175.372932,336.027024,1
15600,238,-267,285,157.430128,-168.280073,327.561366,1
15650,238,-267,285,157.430128,-168.280073,327.561366,1
15700,256,-237,292,175.763199,-139.009762,334.131672,1
15750,252,-182,313,171.912299,-85.718080,354.856954,1
15800,243,-118,325,163.166307,-23.584475,366.366328,1
15850,243,-118,325,163.166307,-23.584475,366.366328,1
15900,251,-87,326,171.464474,6.660943,366.921322,1
15950,268,-77,317,188.802268,16.637562,357.471851,1
16000,252,-40,321,172.867946,52.515953,361.246087,1
16050,252,-40,321,172.867946,52.515953,361.246087,1
16100,219,17,326,139.895178,107.741448,365.962217,1
16150,187,54,328,107.816905,143.527728,367.862840,1
