t_s,innovation_e_m,innovation_n_m,innovation_h_m,hdop,sats
269.63,0.07206802804912371,-0.8433446800443098,0.8464183658368529,2.69,5
269.839,0.005919531690366853,0.1363236191463777,0.1364520794733444,2.69,5
270.708,1.6073505775771295,-1.3471565760990165,2.09723787867861,2.69,5
270.832,-0.15337627562089295,0.1908624031497741,0.24485248387435857,2.69,5
271.775,-0.30057692650009926,1.828299858750725,1.8528429135391287,2.68,5
272.733,2.2160528204211616,-0.7076022027059636,2.326282652682368,2.68,5
272.858,-0.20729984605771534,0.013962779868412767,0.20776954877268763,2.68,5
273.693,-0.4512738316676206,-1.5366258866764007,1.6015202736000598,2.68,5
273.821,-0.08337125314510985,0.14888834398067363,0.1706414510729834,2.68,5
274.695,-0.09303902609414649,0.7009993322680437,0.7071466073006293,2.68,5
274.822,-0.027394506851955214,0.032714001589288166,0.042669250118156164,2.68,5
275.703,0.027239312400261895,-1.771441459804433,1.771650875780581,2.68,5
275.828,-0.005139976740323959,0.1174552930872399,0.11756770489849878,2.68,5
276.668,1.582299740492104,1.9834670012029467,2.5372847324694145,2.68,5
276.795,-0.12591639701401647,-0.08139163278328443,0.14993177423121637,2.68,5
277.747,-0.273828046993124,0.06988852590851913,0.2826060957830427,2.68,5
278.718,1.4603582136239126,-1.1404272198046463,1.8528951281090305,2.68,5
278.831,-0.12853407655729399,0.0190688620424595,0.12994087246140326,2.68,5
279.625,-1.803738390838646,0.47108184866568337,1.8642398694179527,2.68,5
279.843,0.1560729635625151,-0.046798463818388925,0.1629382280833667,2.68,5
280.665,0.3232049132706365,-0.5666308295093341,0.6523280715351101,2.68,5
280.778,0.046458491325687135,0.027245176712376917,0.053858064116226755,2.68,5
281.645,3.204802855199958,-0.42685608147083975,3.2331049248340893,2.68,5
281.854,-0.24621468315618245,0.04385731469480403,0.25009025221695147,2.68,5
282.679,-0.5138755427696537,0.022101342441285254,0.514350602988383,2.68,5
282.793,-0.21380909239257306,0.003090674531488702,0.2138314295392411,2.68,5
283.7,1.292455413246067,0.36064824672758,1.3418301506139811,2.68,5
283.814,-0.2905131759898225,-0.05910968015313056,0.29646561303378677,2.67,5
