t_s,east_m,north_m,up_m,ve_mps,vn_mps,vu_mps,lat,lon,alt_m,roll_deg,pitch_deg,yaw_deg,bgx_dps,bgy_dps,bgz_dps,bax_mps2,bay_mps2,baz_mps2,sigma_e_m,sigma_n_m
607.284,81.80842039878817,-170.13468444470715,-0.008362854869442852,0.21654610775490013,-0.3692204099969059,-0.029782172930491978,26.028863344126044,119.1938644301377,36.19163714513056,-51.05475249628599,-0.8615303537386872,19.590404204837743,0.0,0.0,0.0,0.0,0.0,0.0,1.467269058823635,1.467269058823635
607.415,81.83495968024714,-170.17611326120513,-0.01009203430889441,0.20258993480130236,-0.31625050761826046,-0.029927607232267853,26.028862971964653,119.19386469545782,36.189907965691106,-51.325662414008036,-3.290723637027508,15.197187113771138,0.0,0.0,0.0,0.0,0.0,0.0,1.5409624754962912,1.5409624754962912
607.554,81.86094829027505,-170.21311328152223,-0.01158195199856712,0.1869684174669637,-0.2661871965258706,-0.030035605967753325,26.028862639587814,119.19386495527273,36.18841804800144,-54.15003971137952,-5.867315016264318,14.392164484587221,0.0,0.0,0.0,0.0,0.0,0.0,1.628511728474676,1.628511728474676
607.695,81.67575686212466,-170.8542809770145,0.0,0.06474025860529935,-0.6814318293528292,-0.029295782662430426,26.028856879880408,119.19386310386568,36.2,-53.49931290531162,-8.333275981157783,18.404873229437722,0.0,0.0,0.0,0.0,0.0,0.0,1.3626877267191717,1.3626877267191717
607.837,81.66717288098188,-170.79370188738554,0.0,0.056674784658964125,-0.5783240396239051,-0.02931050624846751,26.02885742407163,119.19386301804937,36.2,-54.131801723971705,-12.71553540802469,19.913504463765666,0.0,0.0,0.0,0.0,0.0,0.0,1.276567679541398,1.276567679541398
607.981,81.67454065423345,-170.86518472768174,-0.0034233462897864738,0.05116509202485732,-0.4964086131679711,-0.029505022391646638,26.02885678193035,119.19386309170693,36.19657665371022,-52.39826232765609,-11.19540764810871,15.439822292188076,0.0,0.0,0.0,0.0,0.0,0.0,1.3281797289380626,1.3281797289380626
608.121,81.68298824567654,-170.9247967652134,-0.006142615060705452,0.06033993887917213,-0.4258002680831453,-0.029676165295469296,26.028856246426304,119.19386317615971,36.1938573849393,-52.94495904095094,-7.4581609505679065,13.748195540203353,0.0,0.0,0.0,0.0,0.0,0.0,1.38721163007096,1.38721163007096
608.259,81.69169137934057,-170.97502115907966,-0.008340300773452597,0.06306618597117075,-0.36394488308890677,-0.02982470676848386,26.0288557952529,119.1938632631672,36.19165969922655,-52.501128161724935,-5.156641816575915,15.079467807452854,0.0,0.0,0.0,0.0,0.0,0.0,1.454571774400964,1.454571774400964
608.394,81.70007201253004,-171.01687730390077,-0.01011419980217479,0.06207876436646547,-0.31004551719347406,-0.02995654205376591,26.028855419252753,119.19386334695058,36.18988580019783,-51.46006662940519,-5.610050182421597,19.631391294187452,0.0,0.0,0.0,0.0,0.0,0.0,1.5295690744211963,1.5295690744211963
608.529,81.70803630486564,-171.0522458775903,-0.01157528048736858,0.058994758041524306,-0.26198943473725217,-0.030068660212582084,26.02885510153145,119.1938634265717,36.18842471951263,-49.54415753354034,-2.9968906794598253,22.78613655593281,0.0,0.0,0.0,0.0,0.0,0.0,1.6136320762409515,1.6136320762409515
608.745,81.65710566367173,-171.90327317226615,0.0,0.022914540918155417,-0.7878759949043066,-0.029020336203705484,26.02884745662319,119.19386291740477,36.2,-51.812522906269,5.937905866760811,20.231975627719716,0.0,0.0,0.0,0.0,0.0,0.0,1.3865505441067958,1.3865505441067958
608.892,81.66217481034556,-172.00319860773806,-0.0034496534278533543,0.034483990978408915,-0.6797648671558807,-0.0292563446862432,26.02884655897773,119.19386296808236,36.19655034657215,-51.332281749772065,5.293106912785975,17.396999780300675,0.0,0.0,0.0,0.0,0.0,0.0,1.4351315977133725,1.4351315977133725
609.033,81.66837555158254,-172.08610362548464,-0.006154550083121246,0.0439768882055509,-0.5879788492665786,-0.02946438031776986,26.028845814229285,119.19386303007279,36.19384544991688,-52.913699508310145,3.229603430492372,16.540100953585718,0.0,0.0,0.0,0.0,0.0,0.0,1.4893863333943065,1.4893863333943065
609.173,81.67592969894623,-172.15709721080592,-0.008352586941708338,0.05395819545492505,-0.5070970380091026,-0.029641808362468023,26.028845176483056,119.19386310559356,36.19164741305829,-53.55047259846585,-1.6244779875330646,17.030443205052432,0.0,0.0,0.0,0.0,0.0,0.0,1.5515555869706414,1.5515555869706414
609.307,81.68259412186363,-172.2158103388826,-0.0100980709359011,0.0497344993835865,-0.43815767221394275,-0.029802721881742652,26.028844649054054,119.19386317221955,36.1899019290641,-51.47491447081893,-4.765132586553379,19.449524744875028,0.0,0.0,0.0,0.0,0.0,0.0,1.6193039243967882,1.6193039243967882
609.475,81.69099782642454,-172.27668911219405,-0.011746983118424339,0.05002205095779083,-0.36237365066342053,-0.029854470204259367,26.02884410217073,119.19386325623357,36.18825301688158,-50.90312326870025,-4.069518073756932,16.358163385313848,0.0,0.0,0.0,0.0,0.0,0.0,1.7160685002534914,1.7160685002534914
609.615,81.69930334575899,-172.3196415297856,-0.012923147265119606,0.05932513810323925,-0.3068029827967698,-0.029971572343883632,26.028843716322598,119.19386333926602,36.18707685273488,-51.6150810933135,1.2299845648702725,13.151906927342656,0.0,0.0,0.0,0.0,0.0,0.0,1.806792650947454,1.806792650947454
609.748,81.64855812497329,-172.76892526072996,0.0,0.026051951673847308,-0.603109976344789,-0.02906313240858658,26.028839680338173,119.1938628319528,36.2,-50.895451305539126,5.655395606425072,13.276263890210977,0.0,0.0,0.0,0.0,0.0,0.0,1.46823800319676,1.46823800319676
609.895,81.65422643614872,-172.84488034816943,-0.003453883532514968,0.038559939968845394,-0.5167012750984418,-0.02929222000027904,26.028838998022014,119.19386288862039,36.19654611646749,-48.457566985561705,6.542179398369143,16.064346920539457,0.0,0.0,0.0,0.0,0.0,0.0,1.516242937310674,1.516242937310674
610.039,81.66054314306548,-172.90851180796056,-0.006204477200275223,0.04386602025530786,-0.44188513743838714,-0.02948963806390305,26.028838426410882,119.19386295177016,36.193795522799725,-49.38267831788487,8.981093585622537,19.765232021919438,0.0,0.0,0.0,0.0,0.0,0.0,1.5706196995772814,1.5706196995772814
610.18,81.66729454337509,-172.96166412761596,-0.008406699265770866,0.04788227169941436,-0.3769668060666667,-0.029661359252577808,26.02883794893547,119.19386301926566,36.19159330073423,-49.89008066748871,7.0313831561512705,23.76590435898773,0.0,0.0,0.0,0.0,0.0,0.0,1.631839434051083,1.631839434051083
610.315,81.67382329844416,-173.00508764990406,-0.010153110531925887,0.04836114865980969,-0.3216557206524878,-0.02981762459558011,26.028837558855336,119.19386308453534,36.18984688946808,-52.648170377781405,10.099715307035314,20.844670952944167,0.0,0.0,0.0,0.0,0.0,0.0,1.6984370825454924,1.6984370825454924
610.446,81.68095523789509,-173.0409420774313,-0.011566171347935854,0.054442285884925945,-0.27369792005546595,-0.029957901854780086,26.028837236769533,119.1938631558352,36.188433828652066,-53.09368374482334,8.623967319132072,17.356415458534638,0.0,0.0,0.0,0.0,0.0,0.0,1.770861778805513,1.770861778805513
610.585,81.68966043421973,-173.0726864181527,-0.012781551246568589,0.06262731168804822,-0.22837655195235437,-0.03006124639312108,26.028836951605268,119.19386324286332,36.187218448753434,-53.44363501873771,6.685986440444422,14.753287840454465,0.0,0.0,0.0,0.0,0.0,0.0,1.8562569499231305,1.8562569499231305
610.718,81.64498379978355,-173.61870864683647,0.0,0.02759232409582476,-0.5852410233056944,-0.029107505341685783,26.028832046604133,119.19386279621934,36.2,-53.76707428762156,4.426267292511375,14.28538806544246,0.0,0.0,0.0,0.0,0.0,0.0,1.5056455458242943,1.5056455458242943
610.861,81.65431677546508,-173.54782297833015,0.0,0.026946878140213616,-0.49303934656001835,-0.02912971531646925,26.028832683380926,119.19386288952353,36.2,-53.04297720390267,-1.085868970234639,17.413685082052247,0.0,0.0,0.0,0.0,0.0,0.0,1.3773026910895028,1.3773026910895028
611.005,81.65833788081386,-173.60843966256115,-0.0034056986983346015,0.02792434269985198,-0.42094919604863046,-0.029352921921267813,26.02883213885199,119.19386292972357,36.196594301301666,-54.23790251580374,-4.378406264065368,14.059476454213835,0.0,0.0,0.0,0.0,0.0,0.0,1.4245093184292914,1.4245093184292914
611.147,81.66351823021493,-173.659273481949,-0.006142777382181921,0.03648133381040964,-0.3579846435763179,-0.029544223594251084,26.028831682204018,119.19386298151288,36.19385722261782,-52.75871702492557,-4.822228592572959,9.359677895736414,0.0,0.0,0.0,0.0,0.0,0.0,1.4798458140545565,1.4798458140545565
611.283,81.6698345127713,-173.70066720649803,-0.008304832042332459,0.04644325409098811,-0.3043656216841432,-0.029716344235987822,26.028831310357866,119.1938630446584,36.19169516795767,-52.398662076749474,-2.022174382872997,9.226549746994419,0.0,0.0,0.0,0.0,0.0,0.0,1.5417016665251686,1.5417016665251686
611.426,81.6778887956556,-173.73703697021637,-0.010145863955336721,0.05632365653362139,-0.25433401201645306,-0.029848600872710733,26.028830983642717,119.19386312517918,36.189854136044666,-53.143620046818675,-0.10751564725810786,10.954820472705146,0.0,0.0,0.0,0.0,0.0,0.0,1.6165293986116167,1.6165293986116167
611.621,81.68816545824852,-173.77519080560182,-0.011909205363445849,0.052700833809824835,-0.19566069428447005,-0.02979366515255643,26.028830640900985,119.19386322791765,36.18809079463656,-52.121633412491406,0.038573665858505905,15.698756839448512,0.0,0.0,0.0,0.0,0.0,0.0,1.7349623374526968,1.7349623374526968
611.755,81.66971132272855,-173.57665884525733,0.0,0.04682740521927487,-0.12523738210714191,-0.029059104965824107,26.02883242434393,119.19386304342684,36.2,-50.54613528887504,4.587539662674535,18.13348752333324,0.0,0.0,0.0,0.0,0.0,0.0,1.5605670507667748,1.5605670507667748
611.906,81.67809030951625,-173.59088525132617,-0.003525422151661735,0.05548997872651013,-0.0942146097273741,-0.029282077240929832,26.028832296545946,119.19386312719377,36.19647457784834,-49.55895565112934,5.985702819231409,16.309737138706822,0.0,0.0,0.0,0.0,0.0,0.0,1.6608823101852448,1.6608823101852448
612.049,81.68729020798945,-173.60064292226855,-0.006246934289893194,0.06433495435804498,-0.0682354611354986,-0.029482810820515862,26.0288322088913,119.19386321916754,36.19375306571011,-50.76253121773133,4.112289042234202,14.18337756297312,0.0,0.0,0.0,0.0,0.0,0.0,1.768010794443858,1.768010794443858
612.19,81.69654073208397,-173.6070611800343,-0.00844040487728056,0.06560655386183538,-0.04551955862236267,-0.02965559473777,26.028832151235108,119.19386331164745,36.19155959512272,-52.40505459427632,0.7788742893220488,15.453618156039793,0.0,0.0,0.0,0.0,0.0,0.0,1.88465930927648,1.88465930927648
612.326,81.70498003364503,-173.6105987965518,-0.010188952333403405,0.062053687948981494,-0.02601188615822587,-0.029810945256068984,26.02883211945616,119.19386339601735,36.1898110476666,-51.34646472618175,-1.4133920120873371,14.995293959417339,0.0,0.0,0.0,0.0,0.0,0.0,2.0069169970561105,2.0069169970561105
612.466,81.71406565178518,-173.61174377036656,-0.01165605660895948,0.06489727242958286,-0.008178384391003959,-0.029934778362026442,26.028832109170683,119.19386348684864,36.18834394339105,-52.897854051234056,-3.495428196584871,14.160832869237302,0.0,0.0,0.0,0.0,0.0,0.0,2.14212868972885,2.14212868972885
612.606,81.72325547924099,-173.61067216310357,-0.012857147812887932,0.0656416246843807,0.007654337592837679,-0.030039461153008488,26.028832118797094,119.19386357872175,36.187142852187115,-52.245526692583105,-0.4087526978930736,12.369616394621522,0.0,0.0,0.0,0.0,0.0,0.0,2.2861735123001554,2.2861735123001554
612.741,83.49217198340675,-174.56256033203485,0.0,1.0955913625118625,-0.5807880157883656,-0.02913380804984882,26.028823567840185,119.19388126304189,36.2,-49.74596400298707,5.4357117272669,14.50778833341061,0.0,0.0,0.0,0.0,0.0,0.0,1.6199307854384122,1.6199307854384122
612.884,83.33717423083566,-174.42667055540545,0.0,0.9586323978318906,-0.48037475453304795,-0.029159829124321093,26.02882478855882,119.19387971348888,36.2,-49.710644216595746,10.2639027959301,14.88528614439803,0.0,0.0,0.0,0.0,0.0,0.0,1.4638115609219633,1.4638115609219633
613.033,83.46476919047038,-174.48738467248194,-0.0034996288857749944,0.8563420109712422,-0.4074772958152744,-0.0293697696832411,26.028824243154624,119.19388098908901,36.196500371114226,-46.10316073352244,11.351577339774003,21.04520439537538,0.0,0.0,0.0,0.0,0.0,0.0,1.5230051739563524,1.5230051739563524
613.179,83.57549239947913,-174.5376737837529,-0.006277236885055977,0.7583781438955319,-0.3444459676093168,-0.029551177533693837,26.02882379139985,119.19388209601783,36.19372276311495,-44.64969706298935,14.607697388967967,25.9913284540948,0.0,0.0,0.0,0.0,0.0,0.0,1.5898996668200736,1.5898996668200736
613.316,83.66949805608739,-174.57767090365184,-0.008426530937859372,0.6861726759726758,-0.2919497802843322,-0.029720541854089743,26.02882343209961,119.19388303581692,36.19157346906214,-43.197395734618674,15.997484844602193,27.661307756223042,0.0,0.0,0.0,0.0,0.0,0.0,1.6612848163191867,1.6612848163191867
