# sample_hz,50
# duration_s,30
# sda_gpio,21
# scl_gpio,22
t_ms,ax_g,ay_g,az_g
8500,0.109619,0.009033,-1.016846
8520,0.111572,0.020020,-1.013916
8540,0.106934,0.014648,-1.011719
8560,0.109863,0.016113,-1.007568
8580,0.112305,0.012939,-1.007568
8600,0.111816,0.015869,-1.011719
8621,0.111816,0.014404,-1.005615
8640,0.105469,0.014893,-1.009277
8660,0.111816,0.011475,-1.014404
8680,0.109863,0.017578,-1.006836
8700,0.111084,0.014404,-1.011719
8720,0.109863,0.009033,-1.005615
8740,0.111572,0.015625,-1.008301
8760,0.109375,0.013428,-1.010010
8780,0.107666,0.011230,-1.009766
8800,0.110840,0.012451,-1.011719
8821,0.109619,0.015381,-1.011475
8840,0.113525,0.014160,-1.009521
8860,0.111084,0.014893,-1.008057
8880,0.113281,0.013184,-1.008057
8900,0.111084,0.013672,-1.014404
8920,0.108398,0.013672,-1.013428
8940,0.113281,0.014893,-1.009277
8960,0.109619,0.014893,-1.012451
8980,0.111328,0.015137,-1.019287
9000,0.109375,0.017090,-1.014648
9020,0.111084,0.017334,-1.015625
9040,0.111816,0.014893,-1.012939
9060,0.109619,0.014648,-1.013672
9080,0.111816,0.011719,-1.018555
9100,0.111572,0.017334,-1.013672
9120,0.110107,0.012695,-1.010254
9140,0.111572,0.011963,-1.007324
9160,0.111816,0.018555,-1.010986
9180,0.110107,0.014160,-1.013672
9200,0.109863,0.015869,-1.008057
9220,0.111328,0.012695,-1.013916
9240,0.108643,0.015869,-1.013672
9260,0.113525,0.015869,-1.011230
9280,0.110596,0.011963,-1.011963
9300,0.115234,0.011230,-1.010986
9320,0.106689,0.013184,-1.017090
9340,0.112549,0.012695,-1.009277
9361,0.111572,0.017578,-1.013184
9380,0.114746,0.011475,-1.007568
9400,0.110840,0.012451,-1.010742
9420,0.113770,0.017090,-1.008057
9440,0.113037,0.012451,-1.010986
9460,0.107422,0.010986,-1.009033
9480,0.111572,0.015137,-1.015869
9500,0.113037,0.010254,-1.011963
9520,0.110596,0.016357,-1.015137
9540,0.108398,0.012451,-1.004883
9560,0.114258,0.015869,-1.010010
9580,0.110596,0.013672,-1.002686
9600,0.114990,0.015137,-1.015137
9620,0.113770,0.016602,-1.012207
9640,0.109375,0.016357,-1.012451
