# purpose,gyroscope bias and Allan deviation
# sample_hz,50
# duration_s,1800
# sda_gpio,21
# scl_gpio,22
# i2c_freq,400000
# gyro_full_scale,+-250 dps
# accel_full_scale,+-2 g
# dlpf_cfg,3
# wifi,off
# note,keep the board completely still
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
3160,-0.039795,0.014893,1.024170,42.812,0.229008,1.106870,-0.129771
3180,-0.035889,0.013916,1.031006,42.795,0.160305,1.022901,-0.068702
3200,-0.033936,0.012695,1.022217,42.786,0.274809,1.000000,-0.129771
3220,-0.033691,0.014648,1.022705,42.824,0.137405,0.893130,-0.022901
3240,-0.037598,0.013916,1.025391,42.798,0.221374,0.992366,-0.114504
3260,-0.033936,0.008057,1.022461,42.792,0.274809,0.992366,-0.083969
3280,-0.039063,0.016113,1.022217,42.818,0.274809,0.954198,-0.190840
3300,-0.035645,0.014160,1.027832,42.818,0.213740,0.977099,-0.076336
3320,-0.039551,0.013916,1.022705,42.806,0.213740,1.076336,-0.053435
3340,-0.035156,0.013916,1.021729,42.809,0.290076,1.015267,-0.267176
3360,-0.032715,0.013184,1.022949,42.809,0.206107,0.908397,-0.068702
3380,-0.032471,0.011963,1.026611,42.815,0.091603,0.954198,-0.145038
3400,-0.034912,0.012695,1.023682,42.789,0.175573,1.076336,-0.122137
3420,-0.036621,0.015869,1.030762,42.798,0.251908,0.862595,-0.007634
3440,-0.033447,0.011719,1.023193,42.783,0.190840,0.954198,-0.099237
3460,-0.038330,0.012695,1.026611,42.780,0.198473,1.007634,-0.114504
3481,-0.035156,0.011230,1.026123,42.830,0.244275,0.977099,0.068702
3501,-0.037109,0.008301,1.018311,42.798,0.167939,0.832061,-0.129771
3520,-0.035889,0.014160,1.028076,42.777,0.251908,0.908397,-0.129771
3540,-0.033447,0.014160,1.024414,42.798,0.259542,0.908397,-0.213740
3560,-0.038330,0.016357,1.022217,42.824,0.244275,0.885496,-0.129771
3580,-0.034668,0.015137,1.023682,42.809,0.244275,0.908397,-0.068702
3600,-0.032471,0.013184,1.022461,42.795,0.145038,0.954198,-0.183206
3620,-0.040039,0.016602,1.022949,42.812,0.198473,0.832061,-0.114504
3640,-0.037354,0.013916,1.025146,42.804,0.160305,0.961832,-0.190840
3660,-0.035645,0.012451,1.031738,42.809,0.236641,0.870229,-0.038168
3680,-0.038330,0.012695,1.023193,42.830,0.259542,0.984733,-0.061069
3700,-0.037109,0.012939,1.025635,42.812,0.267176,1.099237,-0.083969
3720,-0.036865,0.010986,1.026367,42.789,0.190840,0.969466,-0.114504
3740,-0.039551,0.011719,1.027344,42.818,0.175573,0.969466,-0.106870
3760,-0.035400,0.013672,1.023926,42.830,0.236641,0.954198,-0.198473
3780,-0.036621,0.012695,1.023682,42.783,0.206107,0.854962,-0.129771
3800,-0.031250,0.012939,1.025635,42.815,0.320611,1.015267,0.045802
3820,-0.040283,0.012207,1.023926,42.812,0.190840,1.015267,-0.030534
3840,-0.038574,0.008301,1.024902,42.830,0.152672,1.007634,-0.099237
3860,-0.034424,0.015381,1.022705,42.830,0.274809,0.938931,-0.083969
3880,-0.035889,0.016357,1.025635,42.818,0.175573,0.916031,-0.038168
3900,-0.035645,0.013184,1.021484,42.815,0.221374,1.000000,-0.030534
3920,-0.031982,0.014893,1.027100,42.804,0.099237,0.946565,-0.076336
3940,-0.034424,0.014160,1.015625,42.771,0.190840,1.015267,-0.137405
3960,-0.033691,0.020264,1.022217,42.786,0.190840,1.015267,-0.076336
3980,-0.037109,0.013428,1.017822,42.801,0.160305,0.893130,-0.129771
4000,-0.037598,0.017090,1.026367,42.821,0.251908,1.000000,-0.106870
4021,-0.031738,0.015869,1.023926,42.809,0.229008,0.992366,-0.053435
4041,-0.033447,0.014404,1.024902,42.777,0.198473,0.969466,-0.091603
4060,-0.032471,0.009033,1.025635,42.836,0.229008,1.068702,-0.083969
4080,-0.029541,0.014160,1.019043,42.815,0.152672,0.931298,-0.061069
4100,-0.035156,0.012695,1.018311,42.818,0.145038,1.030534,-0.129771
4120,-0.035645,0.015625,1.029297,42.809,0.183206,0.908397,-0.152672
4140,-0.037354,0.014404,1.022461,42.801,0.198473,0.954198,-0.122137
4160,-0.035400,0.014160,1.021240,42.812,0.259542,0.931298,-0.061069
4180,-0.031250,0.016357,1.022949,42.806,0.267176,1.007634,-0.045802
4200,-0.036865,0.012451,1.028320,42.818,0.229008,0.992366,-0.068702
4220,-0.035889,0.013184,1.025146,42.821,0.167939,0.992366,-0.076336
4240,-0.036865,0.010254,1.022217,42.806,0.251908,1.007634,-0.068702
4260,-0.032715,0.009033,1.030029,42.818,0.206107,1.007634,0.045802
4280,-0.033691,0.012695,1.020752,42.783,0.206107,1.000000,-0.114504
4300,-0.033447,0.011475,1.024170,42.839,0.183206,0.977099,-0.038168
4320,-0.034424,0.011963,1.024658,42.806,0.198473,0.938931,-0.183206
4340,-0.033447,0.015869,1.024902,42.824,0.061069,1.022901,-0.068702
4360,-0.032959,0.011475,1.024170,42.798,0.160305,0.885496,-0.038168
4380,-0.035645,0.011475,1.023682,42.806,0.251908,0.938931,-0.152672
4400,-0.035156,0.013184,1.035156,42.783,0.175573,1.000000,-0.175573
4420,-0.032959,0.012939,1.028320,42.833,0.152672,0.916031,-0.160305
4440,-0.037354,0.010986,1.020996,42.801,0.152672,0.946565,0.030534
4460,-0.033203,0.011475,1.028076,42.795,0.122137,1.007634,-0.160305
4480,-0.032715,0.012451,1.028076,42.827,0.297710,0.854962,-0.137405
4500,-0.033447,0.014160,1.025635,42.809,0.267176,1.076336,-0.129771
4520,-0.036377,0.016602,1.026367,42.798,0.167939,1.045802,-0.129771
4540,-0.035156,0.013428,1.025391,42.789,0.297710,1.015267,-0.129771
4560,-0.033691,0.018311,1.025879,42.821,0.213740,1.076336,-0.122137
4580,-0.030029,0.012695,1.033691,42.809,0.297710,0.847328,-0.206107
4601,-0.036377,0.012451,1.033936,42.783,0.328244,0.870229,-0.183206
4621,-0.031982,0.012939,1.022461,42.786,0.183206,1.038168,-0.137405
4640,-0.036865,0.011475,1.023438,42.783,0.244275,1.053435,-0.198473
4660,-0.030762,0.011963,1.025635,42.783,0.274809,1.015267,-0.076336
4680,-0.034180,0.011475,1.027832,42.780,0.305344,0.984733,-0.068702
4700,-0.031006,0.015137,1.029541,42.804,0.328244,0.992366,0.030534
4720,-0.031250,0.017090,1.025391,42.815,0.152672,0.916031,-0.129771
4740,-0.036377,0.013916,1.025391,42.792,0.282443,0.984733,-0.122137
4760,-0.035156,0.010254,1.025146,42.795,0.221374,0.992366,-0.183206
4780,-0.033936,0.015869,1.025146,42.818,0.297710,0.877863,-0.061069
4800,-0.036621,0.009521,1.024414,42.792,0.152672,0.961832,-0.152672
4820,-0.029785,0.008301,1.026123,42.833,0.160305,1.022901,0.015267
4840,-0.036377,0.016602,1.024170,42.804,0.229008,0.954198,-0.076336
4860,-0.033447,0.013672,1.026367,42.798,0.305344,1.000000,-0.076336
4880,-0.033447,0.013916,1.020752,42.809,0.251908,0.931298,-0.206107
4900,-0.035400,0.014160,1.026611,42.801,0.167939,0.938931,-0.129771
4920,-0.033203,0.012207,1.022461,42.836,0.282443,0.824428,-0.068702
