sample,elapsed_s,temp_c
746,74.600,31.000
747,74.700,31.000
748,74.800,32.000
749,74.900,31.000
750,75.000,31.000
751,75.101,31.000
752,75.200,31.000
753,75.301,32.000
754,75.400,31.000
755,75.500,32.000
756,75.600,31.000
757,75.700,31.000
758,75.800,31.000
759,75.900,32.000
760,76.001,31.000
761,76.100,31.000
762,76.200,31.000
763,76.300,31.000
764,76.400,31.000
765,76.500,31.000
766,76.600,31.000
767,76.700,31.000
768,76.801,32.000
769,76.900,31.000
770,77.000,31.000
771,77.100,32.000
772,77.200,32.000
773,77.300,32.000
774,77.400,31.000
775,77.500,31.000
776,77.601,31.000
777,77.700,31.000
778,77.801,31.000
779,77.900,32.000
780,78.001,31.000
781,78.100,31.000
782,78.201,31.000
783,78.300,31.000
784,78.401,32.000
785,78.500,31.000
786,78.601,31.000
787,78.700,31.000
788,78.800,32.000
789,78.900,31.000
790,79.000,31.000
791,79.101,31.000
792,79.200,32.000
793,79.300,31.000
794,79.401,32.000
795,79.500,31.000
796,79.600,31.000
797,79.700,31.000
798,79.800,32.000
799,79.900,31.000
800,80.000,31.000
801,80.101,31.000
802,80.200,32.000
803,80.300,31.000
804,80.400,31.000
805,80.500,32.000
806,80.600,31.000
807,80.700,31.000
808,80.800,32.000
809,80.900,32.000
810,81.000,31.000
811,81.100,32.000
812,81.200,32.000
813,81.300,32.000
814,81.400,32.000
815,81.500,32.000
816,81.600,32.000
817,81.701,32.000
818,81.800,32.000
819,81.900,31.000
820,82.000,31.000
821,82.100,31.000
822,82.200,32.000
823,82.300,32.000
824,82.400,32.000
825,82.501,31.000
826,82.600,31.000
827,82.700,31.000
828,82.800,32.000
829,82.901,32.000
830,83.000,32.000
831,83.100,31.000
832,83.200,32.000
833,83.301,32.000
834,83.400,31.000
835,83.501,32.000
836,83.600,32.000
837,83.700,31.000
838,83.800,32.000
839,83.900,32.000
840,84.000,31.000
841,84.100,32.000
842,84.200,32.000
843,84.300,31.000
844,84.400,32.000
845,84.501,31.000
846,84.600,32.000
847,84.700,31.000
848,84.800,31.000
849,84.900,31.000
850,85.000,32.000
851,85.100,32.000
852,85.200,32.000
853,85.301,32.000
854,85.400,32.000
855,85.500,32.000
856,85.600,32.000
857,85.700,32.000
858,85.800,32.000
859,85.900,32.000
860,86.001,32.000
861,86.100,32.000
862,86.201,32.000
863,86.300,32.000
864,86.400,32.000
865,86.500,32.000
866,86.601,32.000
867,86.700,32.000
868,86.800,32.000
869,86.900,32.000
870,87.000,32.000
871,87.100,32.000
872,87.200,32.000
873,87.300,32.000
874,87.400,32.000
875,87.500,32.000
876,87.601,32.000
877,87.700,32.000
878,87.801,31.000
879,87.900,32.000
880,88.000,32.000
881,88.100,32.000
882,88.201,32.000
883,88.300,32.000
884,88.400,32.000
885,88.500,32.000
886,88.601,32.000
887,88.700,31.000
888,88.800,32.000
889,88.900,32.000
890,89.000,32.000
891,89.101,32.000
892,89.201,32.000
893,89.300,32.000
894,89.400,32.000
895,89.500,32.000
896,89.600,32.000
897,89.701,32.000
898,89.800,32.000
899,89.900,32.000
900,90.000,32.000
901,90.100,32.000
902,90.200,32.000
903,90.301,32.000
904,90.400,31.000
905,90.500,32.000
906,90.600,32.000
907,90.701,32.000
908,90.800,31.000
909,90.900,32.000
910,91.000,32.000
911,91.100,32.000
912,91.200,32.000
913,91.301,32.000
914,91.400,32.000
915,91.501,32.000
916,91.600,32.000
917,91.700,32.000
918,91.800,32.000
919,91.900,32.000
920,92.000,32.000
921,92.100,32.000
922,92.200,32.000
923,92.300,32.000
924,92.400,32.000
925,92.501,32.000
926,92.600,32.000
927,92.701,32.000
928,92.800,32.000
929,92.901,31.000
930,93.000,31.000
931,93.100,32.000
932,93.201,32.000
933,93.300,32.000
934,93.400,31.000
935,93.500,32.000
936,93.601,32.000
937,93.700,32.000
938,93.800,32.000
939,93.900,31.000
940,94.000,31.000
941,94.100,32.000
942,94.200,32.000
943,94.300,32.000
944,94.401,32.000
945,94.500,32.000
946,94.600,32.000
947,94.700,32.000
948,94.800,32.000
949,94.900,32.000
950,95.000,32.000
951,95.101,32.000
952,95.200,32.000
953,95.300,32.000
954,95.400,32.000
955,95.500,32.000
956,95.600,32.000
957,95.700,32.000
958,95.800,32.000
959,95.901,32.000
960,96.000,31.000
961,96.100,32.000
962,96.201,32.000
963,96.300,32.000
964,96.400,32.000
965,96.500,32.000
966,96.600,32.000
967,96.701,32.000
968,96.800,32.000
969,96.901,32.000
970,97.000,32.000
971,97.100,32.000
972,97.200,32.000
973,97.301,32.000
974,97.400,32.000
975,97.500,32.000
976,97.600,32.000
977,97.701,32.000
978,97.800,31.000
979,97.900,32.000
980,98.000,32.000
981,98.100,32.000
982,98.200,32.000
983,98.301,31.000
984,98.400,32.000
985,98.501,31.000
986,98.600,31.000
987,98.700,32.000
988,98.800,32.000
989,98.900,31.000
990,99.001,32.000
991,99.100,32.000
992,99.200,32.000
993,99.300,32.000
994,99.400,32.000
995,99.500,32.000
996,99.600,32.000
997,99.701,32.000
998,99.801,32.000
999,99.900,32.000
1000,100.001,32.000
1001,100.100,32.000
1002,100.200,32.000
1003,100.300,32.000
1004,100.400,32.000
1005,100.500,32.000
1006,100.600,32.000
1007,100.700,32.000
1008,100.801,32.000
1009,100.900,32.000
1010,101.001,32.000
1011,101.100,32.000
1012,101.200,32.000
1013,101.301,32.000
1014,101.400,32.000
1015,101.500,32.000
1016,101.600,32.000
1017,101.700,32.000
1018,101.800,32.000
1019,101.900,32.000
1020,102.000,31.000
1021,102.100,32.000
1022,102.200,32.000
1023,102.300,32.000
1024,102.400,32.000
1025,102.500,32.000
1026,102.600,32.000
1027,102.700,32.000
1028,102.801,32.000
1029,102.900,32.000
1030,103.001,32.000
1031,103.100,32.000
1032,103.200,32.000
1033,103.300,32.000
1034,103.400,32.000
1035,103.500,32.000
1036,103.600,32.000
