# label,wifi_off
# sample_hz,20
# duration_s,60
# sda_gpio,21
# scl_gpio,22
t_ms,mx_raw,my_raw,mz_raw,wifi_scan_count
23150,173,261,167,0
23200,173,261,166,0
23250,174,262,167,0
23300,174,262,167,0
23350,173,263,166,0
23400,174,262,166,0
23450,174,261,166,0
23500,174,261,166,0
23550,173,262,166,0
23600,174,262,166,0
23650,173,263,166,0
23700,173,263,166,0
23750,174,262,167,0
23800,173,262,166,0
23850,173,261,165,0
23900,173,261,165,0
23950,174,261,166,0
24000,173,262,167,0
24050,173,262,167,0
24100,173,262,167,0
24150,174,262,166,0
24200,174,262,166,0
24250,174,262,166,0
24300,175,264,166,0
24351,173,263,166,0
24400,174,263,167,0
24450,174,263,167,0
24500,175,261,167,0
24550,175,263,166,0
24600,174,262,167,0
24650,174,262,167,0
24700,174,262,166,0
24750,173,261,165,0
24800,173,262,167,0
24850,173,262,167,0
24900,174,262,166,0
24950,174,262,167,0
25000,173,264,167,0
25050,173,264,167,0
25100,175,263,167,0
25150,174,262,167,0
25200,173,261,167,0
25250,173,261,167,0
25300,173,261,167,0
25350,173,261,167,0
25400,174,261,166,0
25450,174,261,166,0
25500,173,261,166,0
25550,172,262,166,0
25600,174,262,167,0
25650,174,262,167,0
25700,172,262,166,0
25750,175,262,165,0
25800,174,260,165,0
25850,174,260,165,0
25900,173,261,165,0
25950,174,262,166,0
26000,173,260,167,0
26050,173,260,167,0
26100,175,264,167,0
26150,174,263,167,0
26200,175,261,166,0
26250,175,261,166,0
26300,173,262,166,0
26350,174,264,166,0
26400,173,263,166,0
26450,173,263,166,0
26500,174,262,166,0
26550,174,261,166,0
26600,173,262,166,0
26650,173,262,166,0
26700,173,261,167,0
26750,173,263,167,0
26800,173,263,167,0
26850,173,264,167,0
26900,174,262,166,0
26951,174,262,166,0
27000,174,262,166,0
27050,174,264,166,0
27100,174,263,167,0
27150,174,262,166,0
27200,174,262,166,0
27250,174,263,167,0
27300,174,262,167,0
27350,174,263,166,0
27400,174,263,166,0
27450,174,263,166,0
27500,173,262,166,0
27550,175,262,166,0
27600,175,262,166,0
27650,175,262,167,0
27700,173,262,167,0
27750,173,263,166,0
27800,173,263,166,0
27850,173,262,167,0
27900,173,262,166,0
27950,173,262,165,0
28000,173,262,165,0
28050,173,262,165,0
28100,174,261,166,0
28150,173,261,166,0
28200,173,261,166,0
28250,174,262,167,0
28300,174,261,166,0
28350,173,262,167,0
28400,173,262,167,0
28450,172,263,167,0
28500,173,263,165,0
28550,173,262,167,0
28600,173,262,167,0
28650,173,263,167,0
28700,173,263,166,0
28750,173,264,167,0
28800,173,264,167,0
28850,172,262,166,0
28900,171,262,167,0
28951,172,262,166,0
29000,172,262,166,0
29050,173,262,167,0
29100,173,262,166,0
29150,174,262,166,0
29200,174,262,166,0
29250,174,263,166,0
29300,173,263,167,0
29350,173,263,167,0
29400,174,264,166,0
29450,174,263,167,0
29500,173,262,166,0
29550,173,262,166,0
29600,173,264,166,0
29650,174,261,167,0
29700,173,263,167,0
29750,173,263,167,0
29800,174,262,166,0
29850,173,263,166,0
29900,174,263,166,0
29950,174,263,166,0
30000,174,261,167,0
30050,174,262,166,0
30100,174,263,166,0
30150,174,263,166,0
30200,174,262,167,0
30250,174,263,168,0
30300,173,264,168,0
30350,173,264,168,0
30400,174,263,166,0
30450,175,262,166,0
30500,174,263,166,0
30550,174,263,166,0
30600,174,263,166,0
30650,174,262,166,0
30700,174,260,166,0
30750,174,260,166,0
30800,174,262,167,0
30850,173,262,166,0
30900,173,262,166,0
30950,173,262,166,0
31000,174,262,166,0
31050,174,263,168,0
31100,174,261,167,0
31150,174,261,167,0
31200,174,262,166,0
31250,173,261,166,0
31300,173,262,166,0
31350,173,262,166,0
31400,174,261,166,0
31450,175,262,167,0
31500,174,263,166,0
31550,174,263,166,0
31600,174,262,166,0
31650,174,263,166,0
31700,174,263,166,0
31750,172,262,168,0
31800,174,262,166,0
31850,174,261,166,0
31900,174,261,166,0
31951,173,262,167,0
32000,174,261,166,0
32050,174,263,167,0
32100,174,263,167,0
32150,175,261,166,0
32200,174,262,167,0
32250,174,261,166,0
32300,174,261,166,0
32350,175,263,166,0
32400,174,263,166,0
32450,174,260,166,0
32500,174,260,166,0
