t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps,acc_norm_g,acc_norm_error_mg
3440.0,-0.068115,0.01416,1.026855,43.862,0.29771,0.870229,-0.183206,1.02920909,29.2091
3460.0,-0.061035,0.009277,1.024414,43.859,0.183206,0.931298,-0.129771,1.02627256,26.2726
3480.0,-0.064697,0.004883,1.023682,43.851,0.374046,0.938931,-0.038168,1.02573602,25.7360
3501.0,-0.070068,0.013428,1.027832,43.877,0.251908,0.977099,-0.145038,1.03030503,30.3050
3520.0,-0.07666,0.012451,1.034668,43.88,0.122137,0.938931,-0.183206,1.03757875,37.5787
3540.0,-0.060791,-0.005371,1.025146,43.877,0.259542,0.984733,-0.068702,1.02696091,26.9609
3560.0,-0.083252,0.004395,1.025391,43.865,0.312977,1.038168,-0.099237,1.02877447,28.7745
3580.0,-0.074463,0.017334,1.01123,43.842,0.183206,1.068702,-0.167939,1.01411603,14.1160
3600.0,-0.071533,0.002197,1.015381,43.889,0.236641,1.015267,-0.328244,1.01789998,17.9000
3620.0,-0.061768,0.003906,1.022949,43.854,0.381679,0.89313,-0.122137,1.02481959,24.8196
3640.0,-0.062012,0.013672,1.030762,43.874,0.160305,0.931298,-0.030534,1.03271618,32.7162
3660.0,-0.059082,0.00708,1.029053,43.854,0.167939,0.89313,-0.083969,1.03077199,30.7720
3680.0,-0.058105,0.0,1.020752,43.88,0.358779,1.068702,-0.076336,1.02240444,22.4044
3700.0,-0.071289,0.012939,1.023193,43.877,0.328244,1.045802,-0.053435,1.02575507,25.7551
3720.0,-0.069092,0.01416,1.023438,43.898,0.083969,1.007634,-0.19084,1.02586527,25.8653
3740.0,-0.062256,0.009521,1.018311,43.892,0.175573,1.007634,-0.160305,1.02025671,20.2567
3760.0,-0.068604,0.005859,1.019043,43.851,0.19084,0.931298,-0.10687,1.02136647,21.3665
3780.0,-0.058594,-0.005127,1.020752,43.862,0.167939,1.015267,-0.053435,1.02244520,22.4452
3800.0,-0.067139,0.015137,1.021729,43.877,0.282443,1.099237,-0.10687,1.02404440,24.0444
3820.0,-0.071777,0.003174,1.013428,43.874,0.175573,0.931298,-0.137405,1.01597162,15.9716
3840.0,-0.064941,0.010986,1.018311,43.877,0.244275,0.908397,-0.068702,1.02043879,20.4388
3861.0,-0.053955,0.01123,1.019775,43.862,0.129771,1.053435,-0.083969,1.02126309,21.2631
3880.0,-0.060059,0.009033,1.02124,43.874,0.251908,1.007634,-0.183206,1.02304439,23.0444
3900.0,-0.0625,0.006104,1.019775,43.871,0.244275,0.969466,-0.10687,1.02170669,21.7067
3920.0,-0.067627,0.005859,1.020752,43.877,0.221374,0.961832,-0.122137,1.02300654,23.0065
3940.0,-0.05835,0.006104,1.028076,43.862,0.229008,0.977099,-0.29771,1.02974863,29.7486
3960.0,-0.064697,0.005127,1.021484,43.871,0.175573,0.977099,-0.099237,1.02354362,23.5436
3980.0,-0.065186,0.010498,1.023926,43.868,0.122137,0.992366,-0.145038,1.02605257,26.0526
4000.0,-0.062744,0.006836,1.020752,43.886,0.251908,0.961832,-0.175573,1.02270142,22.7014
4020.0,-0.064209,0.008545,1.026855,43.874,0.328244,0.961832,-0.145038,1.02889601,28.8960
4040.0,-0.0625,0.006104,1.020752,43.892,0.320611,1.015267,-0.229008,1.02268184,22.6818
4060.0,-0.064941,0.010254,1.026123,43.845,0.160305,1.038168,-0.038168,1.02822706,28.2271
4080.0,-0.062988,0.004639,1.024658,43.868,0.198473,0.908397,-0.251908,1.02660266,26.6027
4100.0,-0.065186,0.006104,1.023682,43.859,0.305344,1.099237,-0.167939,1.02577352,25.7735
4120.0,-0.066895,0.009766,1.023926,43.859,0.152672,0.992366,-0.152672,1.02615533,26.1553
4140.0,-0.067383,0.007324,1.017578,43.883,0.19084,0.977099,-0.160305,1.01983288,19.8329
4160.0,-0.059082,0.009521,1.009033,43.871,0.198473,0.969466,-0.129771,1.01080608,10.8061
4180.0,-0.057861,0.010742,1.021973,43.862,0.274809,0.984733,-0.122137,1.02366601,23.6660
4200.0,-0.059814,0.010742,1.019531,43.851,0.236641,0.78626,-0.083969,1.02134057,21.3406
4221.0,-0.064209,0.009033,1.025391,43.851,0.19084,1.10687,-0.206107,1.02743909,27.4391
4240.0,-0.064941,0.009766,1.019043,43.877,0.19084,1.068702,-0.076336,1.02115687,21.1569
4260.0,-0.061279,0.006104,1.021973,43.868,0.129771,1.091603,-0.19084,1.02382674,23.8267
4280.0,-0.065186,0.007813,1.026855,43.833,0.229008,0.984733,-0.183206,1.02895163,28.9516
4300.0,-0.063232,0.009277,1.026611,43.877,0.259542,0.954198,-0.198473,1.02859832,28.5983
4320.0,-0.062012,0.010498,1.026611,43.854,0.183206,0.954198,-0.183206,1.02853578,28.5358
4340.0,-0.063232,0.007568,1.018311,43.862,0.251908,1.10687,-0.083969,1.02030037,20.3004
4360.0,-0.064209,0.006592,1.023193,43.88,0.160305,0.992366,-0.221374,1.02522688,25.2269
4380.0,-0.06665,0.009521,1.020264,43.889,0.206107,0.923664,-0.061069,1.02248301,22.4830
4400.0,-0.063477,0.007324,1.02832,43.871,0.251908,1.022901,-0.122137,1.03030335,30.3033
4420.0,-0.061768,0.006348,1.023926,43.859,0.19084,1.045802,-0.167939,1.02580702,25.8070
4440.0,-0.062256,0.012939,1.02124,43.862,0.145038,1.030534,-0.137405,1.02321765,23.2177
4460.0,-0.063477,0.009766,1.018555,43.865,0.160305,0.961832,-0.038168,1.02057777,20.5778
4480.0,-0.065918,0.010986,1.019531,43.886,0.343511,0.969466,-0.091603,1.02171881,21.7188
4500.0,-0.066895,0.009766,1.018799,43.904,0.236641,1.007634,-0.137405,1.02103953,21.0395
4520.0,-0.064209,0.007324,1.028076,43.904,0.221374,0.839695,-0.19084,1.03010519,30.1052
4540.0,-0.066895,0.007324,1.030029,43.883,0.236641,0.870229,-0.145038,1.03222494,32.2249
4560.0,-0.065674,0.01123,1.025146,43.871,0.236641,0.954198,-0.114504,1.02730887,27.3089
4580.0,-0.063477,0.007568,1.022217,43.851,0.160305,0.923664,-0.175573,1.02421394,24.2139
4600.0,-0.071045,0.009033,1.029297,43.886,0.152672,1.038168,-0.206107,1.03178549,31.7855
4620.0,-0.064209,0.010742,1.023926,43.842,0.122137,0.969466,-0.015267,1.02599349,25.9935
4640.0,-0.060059,0.009277,1.024658,43.889,0.274809,1.022901,-0.183206,1.02645855,26.4586
4660.0,-0.066162,0.010498,1.031006,43.877,0.152672,0.839695,-0.175573,1.03318004,33.1800
4680.0,-0.064941,0.005371,1.026367,43.862,0.175573,0.931298,-0.083969,1.02843347,28.4335
4701.0,-0.065674,0.010742,1.022461,43.871,0.305344,1.030534,-0.083969,1.02462430,24.6243
4720.0,-0.063965,0.009766,1.025391,43.871,0.152672,0.923664,-0.129771,1.02743058,27.4306
4740.0,-0.064697,0.011719,1.021484,43.874,0.312977,0.877863,-0.053435,1.02359787,23.5979
4760.0,-0.066406,0.008057,1.020752,43.848,0.236641,0.946565,-0.114504,1.02294150,22.9415
4780.0,-0.062744,0.008057,1.028076,43.88,0.274809,0.969466,-0.19084,1.03002038,30.0204
4800.0,-0.064209,0.009033,1.02417,43.854,0.229008,1.0,-0.076336,1.02622053,26.2205
4820.0,-0.065674,0.008545,1.014648,43.877,0.160305,1.0,-0.122137,1.01680709,16.8071
4840.0,-0.065186,0.010986,1.015381,43.883,0.236641,0.946565,-0.114504,1.01753058,17.5306
