phase,t_s,temp_c,comp_roll,comp_pitch,comp_yaw,mahony_roll,mahony_pitch,mahony_yaw,madgwick_roll,madgwick_pitch,madgwick_yaw
shake_return_level,131.52,43.701,-0.010065105093198527,-25.412960074424824,57.6526457555821,0.2622016481829861,-23.592910482120324,-83.09394763242912,2.8575533287886694,-30.158643212690382,157.19646212555818
shake_return_level,131.54,43.727,0.09158434414430261,-26.82932677264738,55.64053679590583,0.39164450389129096,-24.84181226875009,-80.05455900954038,3.0587142158264813,-31.63020140248693,157.0679833333416
shake_return_level,131.56,43.689,0.20063204020380493,-28.52637552387317,53.47054179278006,0.4957832382402809,-26.48427680044871,-78.12887323502494,3.2827398253741835,-33.35260387056361,156.94379312178415
shake_return_level,131.58,43.686,0.2988613225065908,-30.42982642627909,51.13927046500271,0.5524099705518917,-28.43917943358741,-77.184895944178,3.4465258373249115,-35.21184851186694,156.83544207452815
shake_return_level,131.6,43.721,0.41874395863178604,-32.464756304570315,48.165773187742865,0.6641617675848512,-30.65087928305997,-79.08134228896915,3.660010886274807,-37.15919325265197,156.70348497790914
shake_return_level,131.62,43.706,0.5308891717887249,-34.50386678207451,44.60220570461169,0.7533733077588617,-33.001562537643224,-83.42701777287964,3.8870988175758567,-39.15851832307839,156.5632442106911
shake_return_level,131.64,43.706,0.6317802995250539,-36.42084874649569,47.43388925024987,0.8181364445688843,-35.250052110063585,-90.92817993753154,4.000185466686511,-41.01887899662015,156.47804765246448
shake_return_level,131.66,43.695,0.7162631740012987,-38.16027284206826,50.19197412329106,0.8558214028378146,-37.39757342140535,-97.90204615594308,4.12628823110654,-42.69531849597784,156.38760599949077
shake_return_level,131.68,43.677,0.7799955748270817,-39.630119592530676,52.89199614086826,0.858136622965782,-39.342998753331116,-104.3284924734637,4.245258010401711,-44.079212537036746,156.30564140096558
shake_return_level,131.7,43.689,0.8216940525466031,-40.694384915774776,55.5143399364094,0.8495280345311155,-40.89556799656135,-110.32619309959136,4.328679139930343,-45.044232979683464,156.25065160142069
shake_return_level,131.72,43.706,0.8324663830935092,-41.34082928579839,57.8502686212345,0.8058975891210315,-42.00253204811131,-116.76829368220955,4.335253210002966,-45.58604484924045,156.24311409147813
shake_return_level,131.74,43.671,0.8173338619370054,-41.535538991619596,60.13975846644254,0.7426270378120794,-42.65321218314268,-122.68629631235738,4.2874822749826755,-45.667651010921496,156.2775279511652
shake_return_level,131.76,43.704,0.7783812836442673,-41.1957958227315,62.36757658186876,0.6854555663423457,-42.79561898867791,-128.200565262942,4.175281949151648,-45.198411068340256,156.36379320986836
shake_return_level,131.78,43.698,0.7054893102635207,-40.323016405901576,64.57184794792802,0.586921801318056,-42.26138970166456,-133.16595706252377,3.986465929083613,-44.22304626812958,156.5007454830207
shake_return_level,131.8,43.683,0.6103983807779496,-39.002265865103276,66.69874301961465,0.4790253322280449,-41.18368078993636,-137.85704061327917,3.730741552019438,-42.80548591467892,156.67933341848865
shake_return_level,131.82,43.736,0.49894324761527165,-37.31650169277072,68.72437989502978,0.35705803176805784,-39.56784490702532,-142.401904605635,3.4494183248130286,-41.00381095007926,156.86794143169038
shake_return_level,131.84,43.677,0.3821603410616247,-35.42863958947885,70.61900060946505,0.24622525861877148,-37.69825816651095,-146.9499125340927,3.175510951580381,-39.00352614260827,157.04330448716317
shake_return_level,131.86,43.706,0.2662113886480597,-33.353653954632016,73.76228205208096,0.15706037681369497,-35.42155888877934,-145.97790464375652,2.9729840965577794,-36.864622682768456,157.1674601255072
shake_return_level,131.88,43.68,0.14807867357059235,-31.30942694282461,71.55142976791234,0.05749489702373177,-33.00511588663584,-137.44679161499917,2.7816158319329634,-34.818609918650914,157.27546638934976
shake_return_level,131.9,43.718,0.040665649908292203,-29.459758051693314,69.53038850253239,-0.05106541974131906,-30.81688638868191,-129.01304566685394,2.6142742456579535,-32.96457875449161,157.36762982001497
shake_return_level,131.92,43.712,-0.03932034908725375,-27.782001038566413,67.38534386831587,-0.0813678557626782,-28.711252148455063,-121.90662141176246,2.5061815195928103,-31.323091344928912,157.42382063030297
shake_return_level,131.94,43.706,-0.09723098579851228,-26.413014546327542,65.57173869678188,-0.07994013133148208,-26.55298845834676,-114.19193029537115,2.4267404107340855,-30.121393234292324,157.45117499380487
shake_return_level,131.96,43.686,-0.14740945649632853,-25.716132357248565,63.76360690161279,-0.0728675946697922,-25.001181598407374,-106.95125606687743,2.4220112829309057,-29.630461261569756,157.34321489909485
shake_return_level,131.98,43.677,-0.16588454636662084,-25.817107347599283,61.824423537793166,-0.06719453029609614,-24.402601195768188,-100.8776099739592,2.5012576074301864,-29.91089668421987,157.1656386748902
shake_return_level,132.0,43.739,-0.11279304631607406,-26.642497154043888,59.95047018889375,0.03967822611965831,-24.65868528134924,-95.33028803143532,2.639629017657812,-30.89378452146764,157.00541976229385
shake_return_level,132.02,43.706,-0.02238365558408192,-28.024197577644816,58.04453494211444,0.14589324003231618,-25.62724902615826,-90.66916564105647,2.812604987432421,-32.39740539225345,156.8773095595178
shake_return_level,132.04,43.698,0.1107790078095035,-29.923147558963297,55.92762901628026,0.31473025793854575,-27.407875663368262,-87.50768294314841,3.039486265113627,-34.340822808527534,156.7557510339644
shake_return_level,132.06,43.706,0.23759872217391428,-32.13583565818418,53.060652636454535,0.4227997500232744,-29.804555732626387,-87.7903829715305,3.236153021077782,-36.47726414800929,156.6465160109869
shake_return_level,132.08,43.704,0.36264453331579594,-34.398746052207535,49.621096362734356,0.518824620461877,-32.31347897495168,-90.56127921851419,3.458554691372008,-38.66426208744506,156.52179907923266
shake_return_level,132.1,43.715,0.49065151323512435,-36.63898631408465,53.08329642088128,0.6285345303590723,-34.82273074602116,-94.5861433680712,3.7265173102438878,-40.848943991180555,156.3708647248026
shake_return_level,132.12,43.698,0.6103213837185353,-38.80736483897906,55.635292679485666,0.7085977459736553,-37.3468042307704,-101.66936690162665,3.8784144219198105,-42.97678217843587,156.2745980774912
shake_return_level,132.14,43.706,0.7417953549217955,-40.782659403056925,58.212532876314455,0.7711675379728706,-39.767745192308475,-108.01935911649964,4.033864182060187,-44.89394984400567,156.23423024292586
shake_return_level,132.16,43.721,0.8973519421617464,-42.443790841254405,60.841534625343044,0.8168057644480569,-41.843170130260575,-113.65473781410418,4.137213780938193,-46.49963781649584,156.32216971042078
